CLAS physics database search results
Measurement E30M1
G11A Run K+Lambda Data
M. McCracken, C. A. Meyer
2008

W	cos(theta_K+)	dsigma/dcos(theta K+)	Data errors
GeV	dimensionless	mcb	mcb
2.085	0.2	0.6483	0.0155
2.085	0.3	0.8902	0.0198
2.085	0.4	1.0472	0.0209
2.085	0.5	1.2402	0.0227
2.085	0.6	1.4336	0.0239
2.085	0.7	1.7191	0.0287
2.085	0.8	1.8071	0.0333
2.085	0.89	1.9916	0.1352
2.095	-0.9	0.5921	0.2686
2.095	-0.8	0.5022	0.0462
2.095	-0.7	0.2932	0.0167
2.095	-0.6	0.2278	0.0136
2.095	-0.5	0.1801	0.0115
2.095	-0.4	0.1554	0.0095
2.095	-0.3	0.1534	0.0083
2.095	-0.2	0.2038	0.011
2.095	-0.1	0.257	0.011
2.095	0	0.4123	0.0158
2.095	0.1	0.4861	0.0163
2.095	0.2	0.6176	0.0154
2.095	0.3	0.79	0.0186
2.095	0.4	0.9542	0.0194
2.095	0.5	1.1562	0.0206
2.095	0.6	1.3964	0.0225
2.095	0.7	1.6359	0.0264
2.095	0.8	1.7839	0.0312
2.095	0.89	1.954	0.1286
2.105	-0.9	0.579	0.1237
2.105	-0.8	0.4733	0.0425
2.105	-0.7	0.2943	0.0163
2.105	-0.6	0.2339	0.0136
2.105	-0.5	0.1911	0.0112
2.105	-0.4	0.1449	0.009
2.105	-0.3	0.1509	0.0079
2.105	-0.2	0.1844	0.0093
2.105	-0.1	0.2569	0.0108
2.105	0	0.3601	0.0148
2.105	0.1	0.4152	0.0137
2.105	0.2	0.5567	0.0135
2.105	0.3	0.7451	0.017
2.105	0.4	0.9024	0.0181
2.105	0.5	1.1038	0.0199
2.105	0.6	1.3011	0.0217
2.105	0.7	1.5105	0.0252
2.105	0.8	1.7027	0.0299
2.105	0.89	1.6366	0.1037
2.115	-0.89	0.5415	0.1428
2.115	-0.8	0.4114	0.0427
2.115	-0.7	0.287	0.021
2.115	-0.6	0.2369	0.0142
2.115	-0.5	0.1943	0.0122
2.115	-0.4	0.1473	0.0094
2.115	-0.3	0.1583	0.0101
2.115	-0.2	0.1875	0.0101
2.115	-0.1	0.2218	0.0106
2.115	0	0.3502	0.0161
2.115	0.1	0.4013	0.014
2.115	0.2	0.5435	0.0142
2.115	0.3	0.7375	0.0179
2.115	0.4	0.8536	0.019
2.115	0.5	1.0851	0.0207
2.115	0.6	1.2999	0.0228
2.115	0.7	1.4835	0.0264
2.115	0.8	1.686	0.0333
2.115	0.89	1.8452	0.1346
2.125	-0.8	0.3808	0.1032
2.125	-0.6	0.2267	0.0158
2.125	-0.5	0.1719	0.0103
2.125	-0.4	0.1675	0.0091
2.125	-0.3	0.149	0.0077
2.125	-0.2	0.1844	0.0095
2.125	-0.1	0.2219	0.0099
2.125	0	0.3283	0.0144
2.125	0.1	0.3715	0.0119
2.125	0.2	0.4979	0.0124
2.125	0.3	0.6938	0.0194
2.125	0.4	0.8401	0.0178
2.125	0.5	1.03	0.0187
2.125	0.6	1.2613	0.0206
2.125	0.7	1.5118	0.0248
2.125	0.8	1.6147	0.0283
2.125	0.88	1.7462	0.0663
2.135	-0.9	0.6472	0.1933
2.135	-0.8	0.422	0.0413
2.135	-0.7	0.3025	0.0169
2.135	-0.6	0.2136	0.013
2.135	-0.5	0.1805	0.0106
2.135	-0.4	0.1388	0.0084
2.135	-0.3	0.1437	0.0077
2.135	-0.2	0.171	0.0091
2.135	-0.1	0.2045	0.0096
2.135	0	0.3104	0.0146
2.135	0.1	0.3383	0.0113
2.135	0.2	0.4793	0.0125
2.135	0.3	0.6491	0.0157
2.135	0.4	0.8057	0.0172
2.135	0.5	0.991	0.0185
2.135	0.6	1.2392	0.0209
2.135	0.7	1.4348	0.0262
2.135	0.8	1.6412	0.0295
2.135	0.88	1.7543	0.0584
2.145	-0.8	0.3166	0.0358
2.145	-0.7	0.2639	0.0191
2.145	-0.6	0.2028	0.0128
2.145	-0.5	0.1641	0.0105
2.145	-0.4	0.16	0.0094
2.145	-0.3	0.1494	0.0081
2.145	-0.2	0.1792	0.0097
2.145	-0.1	0.2099	0.0102
2.145	0	0.2824	0.0144
2.145	0.1	0.3471	0.0125
2.145	0.2	0.454	0.0126
2.145	0.3	0.5863	0.0154
2.145	0.4	0.7643	0.0171
2.145	0.5	0.9441	0.0195
2.145	0.6	1.1948	0.021
2.145	0.7	1.3851	0.0246
2.145	0.8	1.6906	0.0305
2.145	0.88	1.6264	0.0537
2.155	-0.9	0.3509	0.1313
2.155	-0.8	0.3334	0.0359
2.155	-0.7	0.2748	0.0189
2.155	-0.6	0.2307	0.0134
2.155	-0.5	0.1765	0.011
2.155	-0.4	0.1546	0.0092
2.155	-0.3	0.1456	0.0079
2.155	-0.2	0.1709	0.0095
2.155	-0.1	0.1902	0.0094
2.155	0	0.2751	0.0144
2.155	0.1	0.3052	0.0112
2.155	0.2	0.3989	0.0114
2.155	0.3	0.5399	0.0142
2.155	0.4	0.6911	0.0161
2.155	0.5	0.8759	0.0175
2.155	0.6	1.1161	0.0201
2.155	0.7	1.4224	0.0255
2.155	0.8	1.529	0.0284
2.155	0.88	1.5914	0.0544
2.165	-0.89	0.3248	0.0737
2.165	-0.8	0.299	0.0314
2.165	-0.7	0.247	0.0176
2.165	-0.6	0.2032	0.0146
2.165	-0.5	0.1782	0.0108
2.165	-0.4	0.1499	0.0086
2.165	-0.3	0.1337	0.0075
2.165	-0.2	0.1513	0.0087
2.165	-0.1	0.1687	0.0086
2.165	0	0.2273	0.0128
2.165	0.1	0.2807	0.0102
2.165	0.2	0.3943	0.0113
2.165	0.3	0.5437	0.0142
2.165	0.4	0.6723	0.0156
2.165	0.5	0.819	0.0165
2.165	0.6	1.0626	0.0193
2.165	0.7	1.3428	0.0241
2.165	0.8	1.5269	0.0283
2.165	0.88	1.6238	0.0549
2.175	-0.9	0.2504	0.068
2.175	-0.8	0.2532	0.1182
2.175	-0.7	0.2346	0.0697
2.175	-0.6	0.2285	0.0375
2.175	-0.5	0.1787	0.0257
2.175	-0.4	0.1321	0.0083
2.175	-0.3	0.1331	0.0074
2.175	-0.2	0.1386	0.0083
2.175	-0.1	0.1599	0.0082
2.175	0	0.2151	0.0121
2.175	0.1	0.2648	0.0097
2.175	0.2	0.3611	0.0106
2.175	0.3	0.5173	0.0136
2.175	0.4	0.6582	0.0152
2.175	0.5	0.8414	0.0169
2.175	0.6	1.135	0.0201
2.175	0.7	1.3738	0.0243
2.175	0.8	1.6109	0.0284
2.175	0.88	1.7968	0.0591
2.185	-0.9	0.1899	0.0651
2.185	-0.8	0.3215	0.0367
2.185	-0.7	0.2201	0.0165
2.185	-0.6	0.2012	0.0124
2.185	-0.5	0.1659	0.0102
2.185	-0.4	0.1431	0.0084
2.185	-0.3	0.1281	0.0073
2.185	-0.2	0.1432	0.0086
2.185	-0.1	0.1567	0.0084
2.185	0	0.2264	0.0127
2.185	0.1	0.2566	0.0095
2.185	0.2	0.3342	0.0103
2.185	0.3	0.4908	0.0134
2.185	0.4	0.6413	0.0152
2.185	0.5	0.819	0.0169
2.185	0.6	1.0407	0.0191
2.185	0.7	1.2782	0.0234
2.185	0.8	1.5131	0.0318
2.185	0.88	1.6669	0.0563
2.195	-0.89	0.3081	0.1032
2.195	-0.8	0.334	0.0393
2.195	-0.7	0.21	0.0179
2.195	-0.6	0.2016	0.0134
2.195	-0.5	0.1454	0.0103
2.195	-0.4	0.1464	0.0096
2.195	-0.3	0.1351	0.0086
2.195	-0.2	0.1378	0.0095
2.195	-0.1	0.1475	0.0088
2.195	0	0.2005	0.0133
2.195	0.1	0.2583	0.0107
2.195	0.2	0.3643	0.0122
2.195	0.3	0.4909	0.0152
2.195	0.4	0.6662	0.0174
2.195	0.5	0.8395	0.019
2.195	0.6	1.1459	0.0229
2.195	0.7	1.3254	0.0262
2.195	0.8	1.5863	0.0308
2.195	0.88	1.7053	0.0614
2.205	-0.89	0.4694	0.1249
2.205	-0.8	0.3023	0.0375
2.205	-0.7	0.2305	0.0187
2.205	-0.6	0.2017	0.0137
2.205	-0.5	0.168	0.0115
2.205	-0.4	0.1289	0.0089
2.205	-0.3	0.1261	0.0081
2.205	-0.2	0.1229	0.0088
2.205	-0.1	0.1419	0.0086
2.205	0	0.1745	0.0125
2.205	0.1	0.2317	0.0099
2.205	0.2	0.3377	0.0117
2.205	0.3	0.469	0.0145
2.205	0.4	0.5885	0.0159
2.205	0.5	0.7727	0.0191
2.205	0.6	1.0613	0.0214
2.205	0.7	1.3984	0.0272
2.205	0.8	1.6776	0.0323
2.205	0.88	1.5911	0.0568
2.215	-0.89	0.2612	0.0796
2.215	-0.8	0.2114	0.0248
2.215	-0.7	0.2015	0.0136
2.215	-0.6	0.1842	0.012
2.215	-0.5	0.1487	0.0096
2.215	-0.4	0.1295	0.0082
2.215	-0.3	0.1082	0.0068
2.215	-0.2	0.1141	0.0079
2.215	-0.1	0.1265	0.0074
2.215	0	0.1806	0.0116
2.215	0.1	0.2238	0.0091
2.215	0.2	0.2904	0.0096
2.215	0.3	0.3936	0.012
2.215	0.4	0.5313	0.0138
2.215	0.5	0.6943	0.0157
2.215	0.6	0.9801	0.0188
2.215	0.7	1.2751	0.0238
2.215	0.8	1.5369	0.0282
2.215	0.88	1.5405	0.0515
2.225	-0.8	0.2221	0.027
2.225	-0.7	0.1585	0.0139
2.225	-0.6	0.1514	0.011
2.225	-0.5	0.1304	0.0092
2.225	-0.4	0.1118	0.0077
2.225	-0.3	0.1006	0.0067
2.225	-0.2	0.1099	0.0076
2.225	-0.1	0.128	0.0078
2.225	0	0.165	0.011
2.225	0.1	0.1891	0.0082
2.225	0.2	0.2776	0.0097
2.225	0.3	0.3533	0.0114
2.225	0.4	0.4936	0.0138
2.225	0.5	0.671	0.0156
2.225	0.6	0.9612	0.0202
2.225	0.7	1.2139	0.0233
2.225	0.8	1.471	0.0275
2.225	0.88	1.6299	0.0552
2.235	-0.89	0.2879	0.1313
2.235	-0.8	0.2431	0.0306
2.235	-0.7	0.1884	0.0137
2.235	-0.6	0.1547	0.0115
2.235	-0.5	0.1218	0.0089
2.235	-0.4	0.103	0.0077
2.235	-0.3	0.0995	0.0069
2.235	-0.2	0.1098	0.0079
2.235	-0.1	0.1257	0.0079
2.235	0	0.1373	0.0098
2.235	0.1	0.1848	0.0084
2.235	0.2	0.2675	0.0096
2.235	0.3	0.3583	0.0117
2.235	0.4	0.4541	0.0131
2.235	0.5	0.6317	0.0149
2.235	0.6	0.9216	0.0187
2.235	0.7	1.191	0.0235
2.235	0.8	1.4829	0.0288
2.235	0.88	1.5145	0.055
2.245	-0.89	0.2143	0.0659
2.245	-0.8	0.2191	0.0287
2.245	-0.7	0.1496	0.0135
2.245	-0.6	0.1471	0.0109
2.245	-0.5	0.1297	0.009
2.245	-0.4	0.1181	0.0079
2.245	-0.3	0.1058	0.0068
2.245	-0.2	0.097	0.0072
2.245	-0.1	0.1023	0.0069
2.245	0	0.1427	0.0103
2.245	0.1	0.168	0.0078
2.245	0.2	0.2287	0.0126
2.245	0.3	0.3264	0.0108
2.245	0.4	0.4457	0.0127
2.245	0.5	0.6296	0.015
2.245	0.6	0.9119	0.0189
2.245	0.7	1.1198	0.0223
2.245	0.8	1.4506	0.0273
2.245	0.88	1.3917	0.0614
2.255	-0.89	0.2148	0.0748
2.255	-0.8	0.2404	0.0308
2.255	-0.7	0.1931	0.0159
2.255	-0.6	0.1457	0.0105
2.255	-0.5	0.1286	0.0093
2.255	-0.4	0.1125	0.0078
2.255	-0.3	0.1059	0.0071
2.255	-0.2	0.109	0.0079
2.255	-0.1	0.1136	0.0072
2.255	0	0.1468	0.0102
2.255	0.1	0.17	0.0078
2.255	0.2	0.2473	0.0092
2.255	0.3	0.3204	0.0107
2.255	0.4	0.4396	0.0124
2.255	0.5	0.6459	0.0147
2.255	0.6	0.9139	0.0186
2.255	0.7	1.2386	0.0232
2.255	0.8	1.565	0.0283
2.255	0.88	1.5228	0.0649
2.265	-0.89	0.1773	0.0559
2.265	-0.8	0.2161	0.0276
2.265	-0.7	0.1524	0.0139
2.265	-0.6	0.138	0.0103
2.265	-0.5	0.1054	0.0118
2.265	-0.4	0.1113	0.0075
2.265	-0.3	0.095	0.0066
2.265	-0.2	0.0969	0.0075
2.265	-0.1	0.1184	0.0075
2.265	0	0.1535	0.0103
2.265	0.1	0.1747	0.008
2.265	0.2	0.2454	0.0091
2.265	0.3	0.3207	0.0108
2.265	0.4	0.423	0.0123
2.265	0.5	0.6493	0.0153
2.265	0.6	0.9484	0.0192
2.265	0.7	1.1823	0.023
2.265	0.8	1.5488	0.0284
2.265	0.88	1.6042	0.1054
2.275	-0.89	0.1834	0.0636
2.275	-0.8	0.1953	0.0281
2.275	-0.7	0.1739	0.0151
2.275	-0.6	0.1374	0.0106
2.275	-0.5	0.119	0.0088
2.275	-0.4	0.1066	0.0076
2.275	-0.3	0.0947	0.0068
2.275	-0.2	0.0971	0.0074
2.275	-0.1	0.1073	0.0074
2.275	0	0.1433	0.0102
2.275	0.1	0.1585	0.0076
2.275	0.2	0.2128	0.0086
2.275	0.3	0.3034	0.0106
2.275	0.4	0.4292	0.0127
2.275	0.5	0.6076	0.0147
2.275	0.6	0.9005	0.019
2.275	0.7	1.2345	0.0244
2.275	0.8	1.5447	0.0281
2.275	0.88	1.6741	0.0593
2.285	-0.8	0.1978	0.0255
2.285	-0.7	0.1492	0.0193
2.285	-0.6	0.1452	0.0197
2.285	-0.5	0.1094	0.0146
2.285	-0.4	0.0971	0.0071
2.285	-0.3	0.0799	0.0062
2.285	-0.2	0.0916	0.007
2.285	-0.1	0.1162	0.0077
2.285	0	0.1056	0.008
2.285	0.1	0.1379	0.0069
2.285	0.2	0.2257	0.0086
2.285	0.3	0.2989	0.0104
2.285	0.4	0.3738	0.0114
2.285	0.5	0.5818	0.0139
2.285	0.6	0.8456	0.018
2.285	0.7	1.1154	0.022
2.285	0.8	1.4531	0.0269
2.285	0.88	1.5893	0.0524
2.295	-0.89	0.209	0.1006
2.295	-0.8	0.1884	0.0264
2.295	-0.7	0.1544	0.0138
2.295	-0.6	0.1171	0.0095
2.295	-0.5	0.0974	0.0077
2.295	-0.4	0.1004	0.0074
2.295	-0.3	0.0831	0.0062
2.295	-0.2	0.0896	0.007
2.295	-0.1	0.0847	0.0065
2.295	0	0.1218	0.009
2.295	0.1	0.1383	0.0068
2.295	0.2	0.1943	0.0079
2.295	0.3	0.2477	0.0091
2.295	0.4	0.3938	0.0118
2.295	0.5	0.5512	0.0137
2.295	0.6	0.778	0.0168
2.295	0.7	1.1331	0.0223
2.295	0.8	1.4314	0.0266
2.295	0.88	1.3201	0.0465
2.305	-0.89	0.2423	0.0671
2.305	-0.8	0.172	0.0237
2.305	-0.7	0.148	0.0131
2.305	-0.6	0.1038	0.0102
2.305	-0.5	0.0939	0.0084
2.305	-0.4	0.0843	0.0064
2.305	-0.3	0.0933	0.0063
2.305	-0.2	0.0931	0.0067
2.305	-0.1	0.0961	0.0073
2.305	0	0.1303	0.0091
2.305	0.1	0.1387	0.0067
2.305	0.2	0.1804	0.0073
2.305	0.3	0.242	0.0088
2.305	0.4	0.3479	0.0107
2.305	0.5	0.5352	0.013
2.305	0.6	0.7943	0.0171
2.305	0.7	1.0784	0.0213
2.305	0.8	1.4643	0.026
2.305	0.88	1.4637	0.0478
2.315	-0.89	0.1624	0.0491
2.315	-0.8	0.2208	0.0301
2.315	-0.7	0.1301	0.0128
2.315	-0.6	0.1084	0.0093
2.315	-0.5	0.0781	0.007
2.315	-0.4	0.0805	0.0065
2.315	-0.3	0.0786	0.0061
2.315	-0.2	0.0678	0.0059
2.315	-0.1	0.0857	0.0073
2.315	0	0.0953	0.0074
2.315	0.1	0.1248	0.0067
2.315	0.2	0.1788	0.0077
2.315	0.3	0.2019	0.0084
2.315	0.4	0.3132	0.0105
2.315	0.5	0.4611	0.0125
2.315	0.6	0.7016	0.0166
2.315	0.7	0.9638	0.0202
2.315	0.8	1.3491	0.0259
2.315	0.88	1.3479	0.0502
2.325	-0.8	0.1683	0.0249
2.325	-0.7	0.1229	0.0121
2.325	-0.6	0.1064	0.0091
2.325	-0.5	0.0899	0.0075
2.325	-0.4	0.0704	0.0059
2.325	-0.3	0.0771	0.0061
2.325	-0.2	0.074	0.0063
2.325	-0.1	0.0944	0.0076
2.325	0	0.1002	0.0076
2.325	0.1	0.1076	0.0062
2.325	0.2	0.1613	0.0071
2.325	0.3	0.2079	0.0085
2.325	0.4	0.3253	0.0107
2.325	0.5	0.472	0.0126
2.325	0.6	0.7214	0.0171
2.325	0.7	0.9586	0.0202
2.325	0.8	1.3336	0.0306
2.325	0.88	1.3499	0.0536
2.335	-0.8	0.1481	0.0225
2.335	-0.7	0.1161	0.012
2.335	-0.6	0.0996	0.0089
2.335	-0.5	0.0763	0.0069
2.335	-0.4	0.072	0.0061
2.335	-0.3	0.0751	0.0062
2.335	-0.2	0.0718	0.0061
2.335	-0.1	0.0837	0.0073
2.335	0	0.0899	0.007
2.335	0.1	0.1018	0.0059
2.335	0.2	0.1442	0.0068
2.335	0.3	0.1944	0.0082
2.335	0.4	0.2818	0.0103
2.335	0.5	0.4598	0.0136
2.335	0.6	0.6642	0.0174
2.335	0.7	0.9891	0.021
2.335	0.8	1.3358	0.0259
2.335	0.88	1.2743	0.0455
2.345	-0.8	0.1492	0.0226
2.345	-0.7	0.1168	0.0121
2.345	-0.6	0.0849	0.0081
2.345	-0.5	0.0866	0.0077
2.345	-0.4	0.0717	0.0064
2.345	-0.3	0.078	0.0062
2.345	-0.2	0.06	0.0056
2.345	-0.1	0.0787	0.0073
2.345	0	0.0889	0.0067
2.345	0.1	0.116	0.0063
2.345	0.2	0.1272	0.0066
2.345	0.3	0.1739	0.0078
2.345	0.4	0.2613	0.0102
2.345	0.5	0.4311	0.0122
2.345	0.6	0.6979	0.0174
2.345	0.7	0.9401	0.0203
2.345	0.8	1.2779	0.0249
2.345	0.88	1.2602	0.0475
2.355	-0.8	0.1304	0.0204
2.355	-0.7	0.1064	0.0117
2.355	-0.6	0.09	0.0084
2.355	-0.5	0.0742	0.0067
2.355	-0.4	0.0831	0.0064
2.355	-0.3	0.0772	0.0062
2.355	-0.2	0.0728	0.0059
2.355	-0.1	0.0905	0.0078
2.355	0	0.0932	0.0068
2.355	0.1	0.0967	0.0055
2.355	0.2	0.1336	0.0065
2.355	0.3	0.1787	0.0099
2.355	0.4	0.2711	0.0095
2.355	0.5	0.4335	0.0118
2.355	0.6	0.7259	0.0168
2.355	0.7	1.0393	0.0211
2.355	0.8	1.4173	0.0259
2.355	0.88	1.4605	0.0554
2.365	-0.89	0.1408	0.0481
2.365	-0.8	0.1397	0.0227
2.365	-0.7	0.1108	0.0122
2.365	-0.6	0.0883	0.0088
2.365	-0.5	0.0701	0.0076
2.365	-0.4	0.0669	0.0062
2.365	-0.3	0.0687	0.0062
2.365	-0.2	0.0714	0.0063
2.365	-0.1	0.0812	0.0078
2.365	0	0.0849	0.0065
2.365	0.1	0.098	0.0062
2.365	0.2	0.1288	0.0068
2.365	0.3	0.1684	0.008
2.365	0.4	0.2806	0.0105
2.365	0.5	0.443	0.0133
2.365	0.6	0.6926	0.0192
2.365	0.7	1.071	0.0237
2.365	0.8	1.358	0.0266
2.365	0.88	1.4558	0.0622
2.375	-0.8	0.1385	0.0217
2.375	-0.7	0.1028	0.0112
2.375	-0.6	0.0819	0.0077
2.375	-0.5	0.0729	0.0065
2.375	-0.4	0.0655	0.0057
2.375	-0.3	0.0604	0.0055
2.375	-0.2	0.0543	0.0051
2.375	-0.1	0.0958	0.0085
2.375	0	0.0849	0.0061
2.375	0.1	0.1025	0.0064
2.375	0.2	0.1156	0.006
2.375	0.3	0.1754	0.0076
2.375	0.4	0.2362	0.0089
2.375	0.5	0.4157	0.0119
2.375	0.6	0.6612	0.0163
2.375	0.7	1.0314	0.0214
2.375	0.8	1.314	0.025
2.375	0.88	1.4835	0.0609
2.385	-0.8	0.11	0.0201
2.385	-0.7	0.0911	0.0107
2.385	-0.6	0.0741	0.0078
2.385	-0.5	0.0693	0.0068
2.385	-0.4	0.0586	0.0057
2.385	-0.3	0.0613	0.0058
2.385	-0.2	0.0722	0.0063
2.385	-0.1	0.0581	0.0064
2.385	0	0.0798	0.0061
2.385	0.1	0.0761	0.0052
2.385	0.2	0.1044	0.006
2.385	0.3	0.1463	0.0074
2.385	0.4	0.2111	0.0092
2.385	0.5	0.3737	0.0131
2.385	0.6	0.5455	0.0167
2.385	0.7	0.8811	0.0215
2.385	0.8	1.1525	0.0258
2.385	0.88	1.227	0.0552
2.395	-0.8	0.113	0.0223
2.395	-0.7	0.1006	0.0122
2.395	-0.6	0.0735	0.0084
2.395	-0.5	0.0461	0.0057
2.395	-0.4	0.0565	0.0058
2.395	-0.3	0.0629	0.0062
2.395	-0.2	0.0678	0.0063
2.395	-0.1	0.0784	0.0079
2.395	0	0.0677	0.0056
2.395	0.1	0.0795	0.0057
2.395	0.2	0.0783	0.0053
2.395	0.3	0.1362	0.0073
2.395	0.4	0.2142	0.0095
2.395	0.5	0.345	0.012
2.395	0.6	0.5962	0.018
2.395	0.7	0.8631	0.0261
2.395	0.8	1.1592	0.0248
2.395	0.88	1.2522	0.0612
2.405	-0.8	0.1248	0.0227
2.405	-0.7	0.0819	0.0113
2.405	-0.6	0.0549	0.0087
2.405	-0.5	0.0535	0.0065
2.405	-0.4	0.0521	0.0058
2.405	-0.3	0.0668	0.0069
2.405	-0.2	0.0714	0.0067
2.405	-0.1	0.0668	0.0082
2.405	0	0.0668	0.0058
2.405	0.1	0.0776	0.0059
2.405	0.2	0.0821	0.0058
2.405	0.3	0.1157	0.0069
2.405	0.4	0.1945	0.0093
2.405	0.5	0.3359	0.0119
2.405	0.6	0.5276	0.0163
2.405	0.7	0.8249	0.0206
2.405	0.8	1.1468	0.0255
2.405	0.88	1.0952	0.0636
2.415	-0.8	0.1046	0.0187
2.415	-0.7	0.0659	0.0099
2.415	-0.6	0.0629	0.0077
2.415	-0.5	0.0436	0.0056
2.415	-0.4	0.0562	0.0057
2.415	-0.3	0.0624	0.0062
2.415	-0.2	0.0622	0.0058
2.415	-0.1	0.0794	0.0084
2.415	0	0.0612	0.0052
2.415	0.1	0.0622	0.0048
2.415	0.2	0.0802	0.0053
2.415	0.3	0.1242	0.0067
2.415	0.4	0.1839	0.0082
2.415	0.5	0.3449	0.0115
2.415	0.6	0.577	0.0162
2.415	0.7	0.8554	0.02
2.415	0.8	1.1602	0.0242
2.415	0.88	1.3088	0.081
2.425	-0.8	0.1352	0.0231
2.425	-0.7	0.08	0.0098
2.425	-0.6	0.064	0.007
2.425	-0.5	0.0521	0.0056
2.425	-0.4	0.0522	0.0053
2.425	-0.3	0.057	0.0057
2.425	-0.2	0.0534	0.005
2.425	-0.1	0.0652	0.0087
2.425	0	0.076	0.0077
2.425	0.1	0.0756	0.0058
2.425	0.2	0.0947	0.0055
2.425	0.3	0.1207	0.0063
2.425	0.4	0.1701	0.0075
2.425	0.5	0.3116	0.01
2.425	0.6	0.5545	0.0151
2.425	0.7	0.8711	0.0195
2.425	0.8	1.2416	0.0275
2.425	0.88	1.303	0.0832
2.435	-0.8	0.121	0.0303
2.435	-0.7	0.0778	0.0112
2.435	-0.6	0.0453	0.0074
2.435	-0.5	0.0561	0.0061
2.435	-0.4	0.0544	0.0055
2.435	-0.3	0.064	0.0063
2.435	-0.2	0.0664	0.0059
2.435	-0.1	0.059	0.007
2.435	0	0.0745	0.0059
2.435	0.1	0.066	0.0049
2.435	0.2	0.0843	0.0055
2.435	0.3	0.1159	0.0066
2.435	0.4	0.1639	0.0077
2.435	0.5	0.3165	0.0106
2.435	0.6	0.5375	0.0153
2.435	0.7	0.8112	0.0192
2.435	0.8	1.1859	0.0248
2.435	0.88	1.0428	0.0733
2.445	-0.8	0.1236	0.0222
2.445	-0.7	0.0625	0.0086
2.445	-0.6	0.0439	0.0069
2.445	-0.5	0.0502	0.0056
2.445	-0.4	0.0422	0.0047
2.445	-0.3	0.0503	0.0054
2.445	-0.2	0.0588	0.0054
2.445	-0.1	0.0683	0.0072
2.445	0	0.0716	0.0053
2.445	0.1	0.058	0.0046
2.445	0.2	0.0742	0.0048
2.445	0.3	0.1038	0.006
2.445	0.4	0.1626	0.0076
2.445	0.5	0.3252	0.0105
2.445	0.6	0.5608	0.0214
2.445	0.7	0.9249	0.0299
2.445	0.8	1.1498	0.033
2.445	0.88	0.9476	0.1084
2.455	-0.8	0.0981	0.0183
2.455	-0.7	0.0667	0.0087
2.455	-0.6	0.0451	0.0069
2.455	-0.5	0.0419	0.005
2.455	-0.4	0.0411	0.0044
2.455	-0.3	0.0512	0.0053
2.455	-0.2	0.0625	0.0054
2.455	-0.1	0.0583	0.0065
2.455	0	0.0577	0.0046
2.455	0.1	0.0656	0.0045
2.455	0.2	0.0786	0.0051
2.455	0.3	0.1089	0.0061
2.455	0.4	0.1458	0.007
2.455	0.5	0.3034	0.0101
2.455	0.6	0.5222	0.015
2.455	0.7	0.7882	0.018
2.455	0.8	1.1478	0.0254
2.455	0.88	0.8592	0.0804
2.465	-0.8	0.0791	0.0158
2.465	-0.7	0.0498	0.0142
2.465	-0.6	0.0363	0.0067
2.465	-0.5	0.0335	0.0049
2.465	-0.4	0.0422	0.0049
2.465	-0.3	0.0432	0.0054
2.465	-0.2	0.0486	0.0052
2.465	-0.1	0.0567	0.0068
2.465	0	0.0507	0.0048
2.465	0.1	0.0523	0.0045
2.465	0.2	0.0699	0.0054
2.465	0.3	0.0941	0.0061
2.465	0.4	0.1563	0.0077
2.465	0.5	0.275	0.0107
2.465	0.6	0.5307	0.0162
2.465	0.7	0.7985	0.0195
2.465	0.8	1.121	0.0241
2.465	0.87	1.1203	0.043
2.475	-0.8	0.0828	0.0172
2.475	-0.7	0.058	0.0089
2.475	-0.6	0.0409	0.0069
2.475	-0.5	0.0323	0.0045
2.475	-0.4	0.0402	0.0048
2.475	-0.3	0.0519	0.0057
2.475	-0.2	0.0541	0.0053
2.475	-0.1	0.0543	0.0064
2.475	0	0.0595	0.0048
2.475	0.1	0.0543	0.0044
2.475	0.2	0.0561	0.0044
2.475	0.3	0.0841	0.0053
2.475	0.4	0.1399	0.0069
2.475	0.5	0.2678	0.0098
2.475	0.6	0.4799	0.0146
2.475	0.7	0.8116	0.019
2.475	0.8	1.1442	0.0229
2.475	0.87	1.1938	0.0588
2.485	-0.8	0.1023	0.0191
2.485	-0.7	0.0644	0.0092
2.485	-0.6	0.0517	0.0076
2.485	-0.5	0.0317	0.0046
2.485	-0.4	0.04	0.0047
2.485	-0.3	0.053	0.0056
2.485	-0.2	0.0515	0.005
2.485	-0.1	0.0665	0.007
2.485	0	0.0497	0.0044
2.485	0.1	0.0679	0.0048
2.485	0.2	0.0646	0.0046
2.485	0.3	0.0803	0.0053
2.485	0.4	0.1342	0.0067
2.485	0.5	0.2706	0.0099
2.485	0.6	0.5173	0.0203
2.485	0.7	0.8382	0.0256
2.485	0.8	1.1559	0.0282
2.485	0.87	1.2641	0.0606
2.495	-0.8	0.0802	0.0165
2.495	-0.7	0.0491	0.0081
2.495	-0.6	0.0347	0.0054
2.495	-0.5	0.0276	0.0044
2.495	-0.4	0.0298	0.004
2.495	-0.3	0.0391	0.0049
2.495	-0.2	0.0404	0.0046
2.495	-0.1	0.0556	0.0065
2.495	0	0.0585	0.0049
2.495	0.1	0.053	0.0043
2.495	0.2	0.0588	0.0044
2.495	0.3	0.0709	0.0048
2.495	0.4	0.1304	0.0068
2.495	0.5	0.2517	0.0094
2.495	0.6	0.4662	0.0144
2.495	0.7	0.7507	0.0239
2.495	0.8	1.028	0.035
