CLAS physics database search results
Measurement E30M1
G11A Run K+Lambda Data
M. McCracken, C. A. Meyer
2008

W	cos(theta_K+)	dsigma/dcos(theta K+)	Data errors
GeV	dimensionless	mcb	mcb
1.755	-0.2	0.9005	0.0636
1.755	-0.1	0.955	0.1112
1.755	0	0.9115	0.0967
1.755	0.1	1.1703	0.0857
1.755	0.2	1.4092	0.0644
1.755	0.3	1.4719	0.045
1.755	0.4	1.5665	0.0484
1.755	0.5	1.9557	0.0556
1.755	0.6	1.9737	0.0845
1.755	0.7	2.0798	0.0641
1.755	0.8	2.3407	0.1062
1.755	0.89	2.1616	0.1988
1.765	-0.5	0.5935	0.1345
1.765	-0.4	0.6255	0.0791
1.765	-0.3	0.7096	0.0859
1.765	-0.2	0.7705	0.0829
1.765	-0.1	0.8716	0.0883
1.765	0	0.9736	0.0424
1.765	0.1	1.1499	0.0412
1.765	0.2	1.3947	0.0576
1.765	0.3	1.4779	0.0424
1.765	0.4	1.4972	0.0433
1.765	0.5	1.6946	0.0477
1.765	0.6	1.9986	0.0552
1.765	0.7	1.9925	0.0694
1.765	0.8	2.3117	0.0933
1.765	0.89	2.6519	0.2772
1.775	-0.5	0.5959	0.0727
1.775	-0.4	0.6672	0.0589
1.775	-0.3	0.7684	0.0377
1.775	-0.2	0.8562	0.0357
1.775	-0.1	1.0281	0.0441
1.775	0	1.0007	0.0423
1.775	0.1	1.2283	0.0455
1.775	0.2	1.4443	0.056
1.775	0.3	1.5157	0.0417
1.775	0.4	1.5756	0.0659
1.775	0.5	1.621	0.0927
1.775	0.6	1.9099	0.0783
1.775	0.7	2.103	0.1232
1.775	0.8	2.1105	0.1042
1.785	-0.5	0.4646	0.1231
1.785	-0.4	0.6164	0.0804
1.785	-0.3	0.7395	0.0711
1.785	-0.2	0.8337	0.0356
1.785	-0.1	1.0056	0.0491
1.785	0	1.085	0.0429
1.785	0.1	1.3156	0.0467
1.785	0.2	1.4467	0.0574
1.785	0.3	1.2975	0.05
1.785	0.4	1.4704	0.0778
1.785	0.5	1.7536	0.0518
1.785	0.6	1.8102	0.0501
1.785	0.7	2.0489	0.0613
1.785	0.8	2.0585	0.0877
1.795	-0.6	0.6201	0.1985
1.795	-0.5	0.697	0.0503
1.795	-0.4	0.7211	0.0395
1.795	-0.3	0.751	0.0372
1.795	-0.2	0.8851	0.037
1.795	-0.1	1.0258	0.0436
1.795	0	1.0765	0.0579
1.795	0.1	1.303	0.0781
1.795	0.2	1.3084	0.0916
1.795	0.3	1.4545	0.0475
1.795	0.4	1.603	0.0573
1.795	0.5	1.7418	0.0491
1.795	0.6	1.996	0.0494
1.795	0.7	1.9732	0.1317
1.805	-0.6	0.6596	0.174
1.805	-0.5	0.6915	0.1086
1.805	-0.4	0.7241	0.08
1.805	-0.3	0.7249	0.044
1.805	-0.2	0.8686	0.0348
1.805	-0.1	0.9955	0.0395
1.805	0	1.0987	0.0404
1.805	0.1	1.2582	0.0432
1.805	0.2	1.4053	0.0881
1.805	0.3	1.396	0.0478
1.805	0.4	1.6065	0.0439
1.805	0.5	1.6792	0.0447
1.805	0.6	1.8914	0.0452
1.805	0.7	2.0401	0.0536
1.805	0.8	2.165	0.087
1.805	0.89	2.4429	0.2053
1.815	-0.7	0.524	0.2432
1.815	-0.6	0.6422	0.0903
1.815	-0.5	0.6791	0.0613
1.815	-0.4	0.7692	0.0402
1.815	-0.3	0.7768	0.0371
1.815	-0.2	0.9103	0.0376
1.815	-0.1	1.0684	0.0452
1.815	0	1.1322	0.0449
1.815	0.1	1.3891	0.0529
1.815	0.2	1.4626	0.063
1.815	0.3	1.4553	0.0417
1.815	0.4	1.692	0.0487
1.815	0.5	1.8054	0.051
1.815	0.6	2.0011	0.0541
1.815	0.7	2.1094	0.0586
1.815	0.8	2.142	0.0959
1.815	0.89	2.2361	0.1688
1.825	-0.7	0.5002	0.2007
1.825	-0.6	0.6258	0.0728
1.825	-0.5	0.7419	0.042
1.825	-0.4	0.6903	0.0342
1.825	-0.3	0.7163	0.0418
1.825	-0.2	0.8631	0.0326
1.825	-0.1	1.0019	0.0403
1.825	0	1.1077	0.0396
1.825	0.1	1.2396	0.0432
1.825	0.2	1.3097	0.0454
1.825	0.3	1.4483	0.0382
1.825	0.4	1.5665	0.042
1.825	0.5	1.6814	0.0423
1.825	0.6	1.807	0.0415
1.825	0.7	2.0889	0.0522
1.825	0.8	2.1664	0.09
1.825	0.89	2.3115	0.1823
1.835	-0.6	0.6004	0.1895
1.835	-0.5	0.7503	0.0978
1.835	-0.4	0.7351	0.0441
1.835	-0.3	0.761	0.0342
1.835	-0.2	0.8473	0.0324
1.835	-0.1	1.0062	0.0404
1.835	0	1.0997	0.04
1.835	0.1	1.3704	0.0471
1.835	0.2	1.4055	0.0459
1.835	0.3	1.4481	0.0372
1.835	0.4	1.5526	0.0415
1.835	0.5	1.6658	0.0447
1.835	0.6	1.7952	0.0419
1.835	0.7	2.0484	0.0501
1.835	0.8	2.2582	0.0828
1.845	-0.7	0.6219	0.0769
1.845	-0.6	0.6373	0.0481
1.845	-0.5	0.7031	0.0389
1.845	-0.4	0.744	0.0356
1.845	-0.3	0.779	0.0321
1.845	-0.2	0.8684	0.0308
1.845	-0.1	1.024	0.0371
1.845	0	1.1014	0.0368
1.845	0.1	1.3109	0.0433
1.845	0.2	1.3529	0.0423
1.845	0.3	1.5018	0.0372
1.845	0.4	1.5162	0.0398
1.845	0.5	1.7219	0.0417
1.845	0.6	1.7233	0.0388
1.845	0.7	1.8975	0.0459
1.845	0.8	2.0008	0.0728
1.845	0.89	1.7865	0.125
1.855	-0.6	0.6936	0.0434
1.855	-0.5	0.6956	0.04
1.855	-0.4	0.7301	0.0326
1.855	-0.3	0.8145	0.0317
1.855	-0.2	0.8932	0.0327
1.855	-0.1	1.0095	0.0454
1.855	0	1.1377	0.0559
1.855	0.1	1.2851	0.0462
