Path: /HepData/6409/d3-x1-y1
Location: T 3
E : 1.45 GeV
RE : GAMMA P --> K+ SIGMA0
SQRT(S) : 1.897 GeV
x : THETA IN DEG
y : D(SIG)/DOMEGA IN MUB/SR
xdesc	x	xlow	xhigh	y	dy+	dy-	
	11.7	11.7	11.7	0.269	+0.034	-0.034
	18.5	18.5	18.5	0.228	+0.025	-0.025
	24.3	24.3	24.3	0.228	+0.025	-0.025
	35.0	35.0	35.0	0.233	+0.029	-0.029
	45.1	45.1	45.1	0.279	+0.03	-0.03
	55.0	55.0	55.0	0.275	+0.03	-0.03
	64.7	64.7	64.7	0.308	+0.03	-0.03
	74.2	74.2	74.2	0.263	+0.033	-0.033
	83.5	83.5	83.5	0.231	+0.029	-0.029

