#: table_doi: 10.17182/hepdata.54967.v1/t22
#: name: Table 22
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 1.83-1.84 GeV.

#: data_file: Table22.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 1.316E+00,1.336E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 1.83-1.84
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,1.835 (BIN=1.83 TO 1.84)
#: SQRT(S) [GeV],,,1.83-1.84
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.6000000000000001,-0.65,-0.55,0.6004,0.1895,-0.1895,0.066,-0.066
-0.5,-0.55,-0.45,0.7503,0.0978,-0.0978,0.0825,-0.0825
-0.4,-0.45,-0.35,0.7351,0.0441,-0.0441,0.0809,-0.0809
-0.3,-0.35,-0.25,0.761,0.0342,-0.0342,0.0837,-0.0837
-0.2,-0.25,-0.15,0.8473,0.0324,-0.0324,0.0932,-0.0932
-0.1,-0.15,-0.05,1.0062,0.0404,-0.0404,0.1107,-0.1107
0.0,-0.05,0.05,1.0997,0.04,-0.04,0.121,-0.121
0.1,0.05,0.15,1.3704,0.0471,-0.0471,0.1507,-0.1507
0.2,0.15,0.25,1.4055,0.0459,-0.0459,0.1546,-0.1546
0.3,0.25,0.35,1.4481,0.0372,-0.0372,0.1593,-0.1593
0.4,0.35,0.45,1.5526,0.0415,-0.0415,0.1708,-0.1708
0.5,0.45,0.55,1.6658,0.0447,-0.0447,0.1832,-0.1832
0.6000000000000001,0.55,0.65,1.7952,0.0419,-0.0419,0.1975,-0.1975
0.7,0.65,0.75,2.0484,0.0501,-0.0501,0.2253,-0.2253
0.8,0.75,0.85,2.2582,0.0828,-0.0828,0.2484,-0.2484

