#: table_doi: 10.17182/hepdata.54967.v1/t17
#: name: Table 17
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 1.78-1.79 GeV.

#: data_file: Table17.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 1.220E+00,1.239E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 1.78-1.79
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,1.785 (BIN=1.78 TO 1.79)
#: SQRT(S) [GeV],,,1.78-1.79
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.5,-0.55,-0.45,0.4646,0.1231,-0.1231,0.0511,-0.0511
-0.4,-0.45,-0.35,0.6164,0.0804,-0.0804,0.0678,-0.0678
-0.3,-0.35,-0.25,0.7395,0.0711,-0.0711,0.0813,-0.0813
-0.2,-0.25,-0.15,0.8337,0.0356,-0.0356,0.0917,-0.0917
-0.1,-0.15,-0.05,1.0056,0.0491,-0.0491,0.1106,-0.1106
0.0,-0.05,0.05,1.085,0.0429,-0.0429,0.1193,-0.1193
0.1,0.05,0.15,1.3156,0.0467,-0.0467,0.1447,-0.1447
0.2,0.15,0.25,1.4467,0.0574,-0.0574,0.1591,-0.1591
0.3,0.25,0.35,1.2975,0.05,-0.05,0.1427,-0.1427
0.4,0.35,0.45,1.4704,0.0778,-0.0778,0.1617,-0.1617
0.5,0.45,0.55,1.7536,0.0518,-0.0518,0.1929,-0.1929
0.6000000000000001,0.55,0.65,1.8102,0.0501,-0.0501,0.1991,-0.1991
0.7,0.65,0.75,2.0489,0.0613,-0.0613,0.2254,-0.2254
0.8,0.75,0.85,2.0585,0.0877,-0.0877,0.2264,-0.2264

