#: table_doi: 10.17182/hepdata.54967.v1/t85
#: name: Table 85
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 2.47-2.48 GeV.

#: data_file: Table85.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 2.783E+00,2.809E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 2.47-2.48
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,2.475 (BIN=2.47 TO 2.48)
#: SQRT(S) [GeV],,,2.47-2.48
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.8,-0.85,-0.75,0.0828,0.0172,-0.0172,0.0091,-0.0091
-0.7,-0.75,-0.65,0.058,0.0089,-0.0089,0.0064,-0.0064
-0.6000000000000001,-0.65,-0.55,0.0409,0.0069,-0.0069,0.0045,-0.0045
-0.5,-0.55,-0.45,0.0323,0.0045,-0.0045,0.0036,-0.0036
-0.4,-0.45,-0.35,0.0402,0.0048,-0.0048,0.0044,-0.0044
-0.3,-0.35,-0.25,0.0519,0.0057,-0.0057,0.0057,-0.0057
-0.2,-0.25,-0.15,0.0541,0.0053,-0.0053,0.006,-0.006
-0.1,-0.15,-0.05,0.0543,0.0064,-0.0064,0.006,-0.006
0.0,-0.05,0.05,0.0595,0.0048,-0.0048,0.0065,-0.0065
0.1,0.05,0.15,0.0543,0.0044,-0.0044,0.006,-0.006
0.2,0.15,0.25,0.0561,0.0044,-0.0044,0.0062,-0.0062
0.3,0.25,0.35,0.0841,0.0053,-0.0053,0.0093,-0.0093
0.4,0.35,0.45,0.1399,0.0069,-0.0069,0.0154,-0.0154
0.5,0.45,0.55,0.2678,0.0098,-0.0098,0.0295,-0.0295
0.6000000000000001,0.55,0.65,0.4799,0.0146,-0.0146,0.0528,-0.0528
0.7,0.65,0.75,0.8116,0.019,-0.019,0.0893,-0.0893
0.8,0.75,0.85,1.1442,0.0229,-0.0229,0.1259,-0.1259
0.87,0.85,0.89,1.1938,0.0588,-0.0588,0.1313,-0.1313

