#: table_doi: 10.17182/hepdata.54967.v1/t71
#: name: Table 71
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 2.33-2.34 GeV.

#: data_file: Table71.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 2.425E+00,2.450E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 2.33-2.34
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,2.335 (BIN=2.33 TO 2.34)
#: SQRT(S) [GeV],,,2.33-2.34
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.8,-0.85,-0.75,0.1481,0.0225,-0.0225,0.0163,-0.0163
-0.7,-0.75,-0.65,0.1161,0.012,-0.012,0.0128,-0.0128
-0.6000000000000001,-0.65,-0.55,0.0996,0.0089,-0.0089,0.011,-0.011
-0.5,-0.55,-0.45,0.0763,0.0069,-0.0069,0.0084,-0.0084
-0.4,-0.45,-0.35,0.072,0.0061,-0.0061,0.0079,-0.0079
-0.3,-0.35,-0.25,0.0751,0.0062,-0.0062,0.0083,-0.0083
-0.2,-0.25,-0.15,0.0718,0.0061,-0.0061,0.0079,-0.0079
-0.1,-0.15,-0.05,0.0837,0.0073,-0.0073,0.0092,-0.0092
0.0,-0.05,0.05,0.0899,0.007,-0.007,0.0099,-0.0099
0.1,0.05,0.15,0.1018,0.0059,-0.0059,0.0112,-0.0112
0.2,0.15,0.25,0.1442,0.0068,-0.0068,0.0159,-0.0159
0.3,0.25,0.35,0.1944,0.0082,-0.0082,0.0214,-0.0214
0.4,0.35,0.45,0.2818,0.0103,-0.0103,0.031,-0.031
0.5,0.45,0.55,0.4598,0.0136,-0.0136,0.0506,-0.0506
0.6000000000000001,0.55,0.65,0.6642,0.0174,-0.0174,0.0731,-0.0731
0.7,0.65,0.75,0.9891,0.021,-0.021,0.1088,-0.1088
0.8,0.75,0.85,1.3358,0.0259,-0.0259,0.1469,-0.1469
0.88,0.85,0.91,1.2743,0.0455,-0.0455,0.1402,-0.1402

