#: table_doi: 10.17182/hepdata.54967.v1/t96
#: name: Table 96
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 2.58-2.59 GeV.

#: data_file: Table96.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 3.079E+00,3.107E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 2.58-2.59
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,2.585 (BIN=2.58 TO 2.59)
#: SQRT(S) [GeV],,,2.58-2.59
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.8,-0.85,-0.75,0.0868,0.0193,-0.0193,0.0095,-0.0095
-0.7,-0.75,-0.65,0.0466,0.0087,-0.0087,0.0051,-0.0051
-0.6000000000000001,-0.65,-0.55,0.0292,0.0061,-0.0061,0.0032,-0.0032
-0.5,-0.55,-0.45,0.0247,0.0044,-0.0044,0.0027,-0.0027
-0.4,-0.45,-0.35,0.0296,0.0046,-0.0046,0.0033,-0.0033
-0.3,-0.35,-0.25,0.0344,0.0051,-0.0051,0.0038,-0.0038
-0.2,-0.25,-0.15,0.0321,0.0051,-0.0051,0.0035,-0.0035
-0.1,-0.15,-0.05,0.0349,0.0046,-0.0046,0.0038,-0.0038
0.0,-0.05,0.05,0.0274,0.0034,-0.0034,0.003,-0.003
0.1,0.05,0.15,0.0338,0.0037,-0.0037,0.0037,-0.0037
0.2,0.15,0.25,0.0404,0.004,-0.004,0.0044,-0.0044
0.3,0.25,0.35,0.0477,0.0054,-0.0054,0.0052,-0.0052
0.4,0.35,0.45,0.0756,0.0054,-0.0054,0.0083,-0.0083
0.5,0.45,0.55,0.1693,0.0087,-0.0087,0.0186,-0.0186
0.6000000000000001,0.55,0.65,0.3367,0.013,-0.013,0.037,-0.037
0.7,0.65,0.75,0.6207,0.0179,-0.0179,0.0683,-0.0683
0.8,0.75,0.85,0.9633,0.0226,-0.0226,0.106,-0.106
0.87,0.85,0.89,1.0632,0.0492,-0.0492,0.117,-0.117

