#: table_doi: 10.17182/hepdata.54967.v1/t23
#: name: Table 23
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 1.84-1.85 GeV.

#: data_file: Table23.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 1.336E+00,1.355E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 1.84-1.85
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,1.845 (BIN=1.84 TO 1.85)
#: SQRT(S) [GeV],,,1.84-1.85
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.7,-0.75,-0.65,0.6219,0.0769,-0.0769,0.0684,-0.0684
-0.6000000000000001,-0.65,-0.55,0.6373,0.0481,-0.0481,0.0701,-0.0701
-0.5,-0.55,-0.45,0.7031,0.0389,-0.0389,0.0773,-0.0773
-0.4,-0.45,-0.35,0.744,0.0356,-0.0356,0.0818,-0.0818
-0.3,-0.35,-0.25,0.779,0.0321,-0.0321,0.0857,-0.0857
-0.2,-0.25,-0.15,0.8684,0.0308,-0.0308,0.0955,-0.0955
-0.1,-0.15,-0.05,1.024,0.0371,-0.0371,0.1126,-0.1126
0.0,-0.05,0.05,1.1014,0.0368,-0.0368,0.1212,-0.1212
0.1,0.05,0.15,1.3109,0.0433,-0.0433,0.1442,-0.1442
0.2,0.15,0.25,1.3529,0.0423,-0.0423,0.1488,-0.1488
0.3,0.25,0.35,1.5018,0.0372,-0.0372,0.1652,-0.1652
0.4,0.35,0.45,1.5162,0.0398,-0.0398,0.1668,-0.1668
0.5,0.45,0.55,1.7219,0.0417,-0.0417,0.1894,-0.1894
0.6000000000000001,0.55,0.65,1.7233,0.0388,-0.0388,0.1896,-0.1896
0.7,0.65,0.75,1.8975,0.0459,-0.0459,0.2087,-0.2087
0.8,0.75,0.85,2.0008,0.0728,-0.0728,0.2201,-0.2201
0.89,0.85,0.93,1.7865,0.125,-0.125,0.1965,-0.1965

