#: table_doi: 10.17182/hepdata.54967.v1/t64
#: name: Table 64
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 2.26-2.27 GeV.

#: data_file: Table64.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 2.254E+00,2.278E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 2.26-2.27
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,2.265 (BIN=2.26 TO 2.27)
#: SQRT(S) [GeV],,,2.26-2.27
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.89,-0.93,-0.85,0.1773,0.0559,-0.0559,0.0195,-0.0195
-0.8,-0.85,-0.75,0.2161,0.0276,-0.0276,0.0238,-0.0238
-0.7,-0.75,-0.65,0.1524,0.0139,-0.0139,0.0168,-0.0168
-0.6000000000000001,-0.65,-0.55,0.138,0.0103,-0.0103,0.0152,-0.0152
-0.5,-0.55,-0.45,0.1054,0.0118,-0.0118,0.0116,-0.0116
-0.4,-0.45,-0.35,0.1113,0.0075,-0.0075,0.0122,-0.0122
-0.3,-0.35,-0.25,0.095,0.0066,-0.0066,0.0105,-0.0105
-0.2,-0.25,-0.15,0.0969,0.0075,-0.0075,0.0107,-0.0107
-0.1,-0.15,-0.05,0.1184,0.0075,-0.0075,0.013,-0.013
0.0,-0.05,0.05,0.1535,0.0103,-0.0103,0.0169,-0.0169
0.1,0.05,0.15,0.1747,0.008,-0.008,0.0192,-0.0192
0.2,0.15,0.25,0.2454,0.0091,-0.0091,0.027,-0.027
0.3,0.25,0.35,0.3207,0.0108,-0.0108,0.0353,-0.0353
0.4,0.35,0.45,0.423,0.0123,-0.0123,0.0465,-0.0465
0.5,0.45,0.55,0.6493,0.0153,-0.0153,0.0714,-0.0714
0.6000000000000001,0.55,0.65,0.9484,0.0192,-0.0192,0.1043,-0.1043
0.7,0.65,0.75,1.1823,0.023,-0.023,0.1301,-0.1301
0.8,0.75,0.85,1.5488,0.0284,-0.0284,0.1704,-0.1704
0.88,0.85,0.91,1.6042,0.1054,-0.1054,0.1765,-0.1765

