#: table_doi: 10.17182/hepdata.54967.v1/t95
#: name: Table 95
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 2.57-2.58 GeV.

#: data_file: Table95.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 3.052E+00,3.079E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 2.57-2.58
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,2.575 (BIN=2.57 TO 2.58)
#: SQRT(S) [GeV],,,2.57-2.58
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.8,-0.85,-0.75,0.0669,0.0135,-0.0135,0.0074,-0.0074
-0.7,-0.75,-0.65,0.04,0.0075,-0.0075,0.0044,-0.0044
-0.6000000000000001,-0.65,-0.55,0.0229,0.0051,-0.0051,0.0025,-0.0025
-0.5,-0.55,-0.45,0.0294,0.0044,-0.0044,0.0032,-0.0032
-0.4,-0.45,-0.35,0.0232,0.0036,-0.0036,0.0026,-0.0026
-0.3,-0.35,-0.25,0.0295,0.0045,-0.0045,0.0032,-0.0032
-0.2,-0.25,-0.15,0.0381,0.005,-0.005,0.0042,-0.0042
-0.1,-0.15,-0.05,0.0324,0.0045,-0.0045,0.0036,-0.0036
0.0,-0.05,0.05,0.0356,0.0037,-0.0037,0.0039,-0.0039
0.1,0.05,0.15,0.0313,0.0033,-0.0033,0.0034,-0.0034
0.2,0.15,0.25,0.0446,0.004,-0.004,0.0049,-0.0049
0.3,0.25,0.35,0.0571,0.0044,-0.0044,0.0063,-0.0063
0.4,0.35,0.45,0.0828,0.0052,-0.0052,0.0091,-0.0091
0.5,0.45,0.55,0.1613,0.0078,-0.0078,0.0177,-0.0177
0.6000000000000001,0.55,0.65,0.3557,0.0121,-0.0121,0.0391,-0.0391
0.7,0.65,0.75,0.6506,0.0171,-0.0171,0.0716,-0.0716
0.8,0.75,0.85,0.9421,0.0222,-0.0222,0.1036,-0.1036
0.87,0.85,0.89,1.1528,0.0664,-0.0664,0.1268,-0.1268

