#: table_doi: 10.17182/hepdata.54967.v1/t116
#: name: Table 116
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 2.8-2.81 GeV.

#: data_file: Table116.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 3.710E+00,3.740E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 2.8-2.81
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,2.805 (BIN=2.8 TO 2.81)
#: SQRT(S) [GeV],,,2.8-2.81
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.8,-0.85,-0.75,0.0221,0.0083,-0.0083,0.0024,-0.0024
-0.7,-0.75,-0.65,0.014,0.0044,-0.0044,0.0015,-0.0015
-0.6000000000000001,-0.65,-0.55,0.0128,0.0037,-0.0037,0.0014,-0.0014
-0.5,-0.55,-0.45,0.0049,0.0022,-0.0022,0.0005,-0.0005
-0.4,-0.45,-0.35,0.0134,0.0032,-0.0032,0.0015,-0.0015
-0.3,-0.35,-0.25,0.013,0.0027,-0.0027,0.0014,-0.0014
-0.2,-0.25,-0.15,0.0112,0.0038,-0.0038,0.0012,-0.0012
-0.1,-0.15,-0.05,0.0106,0.0021,-0.0021,0.0012,-0.0012
0.0,-0.05,0.05,0.0134,0.0023,-0.0023,0.0015,-0.0015
0.1,0.05,0.15,0.012,0.002,-0.002,0.0013,-0.0013
0.2,0.15,0.25,0.0133,0.0022,-0.0022,0.0015,-0.0015
0.3,0.25,0.35,0.0159,0.0022,-0.0022,0.0017,-0.0017
0.4,0.35,0.45,0.0283,0.0029,-0.0029,0.0031,-0.0031
0.5,0.45,0.55,0.0558,0.0046,-0.0046,0.0061,-0.0061
0.6000000000000001,0.55,0.65,0.1556,0.0077,-0.0077,0.0171,-0.0171
0.7,0.65,0.75,0.3332,0.012,-0.012,0.0367,-0.0367
0.8,0.75,0.85,0.6412,0.0169,-0.0169,0.0705,-0.0705
0.86,0.85,0.87,0.6564,0.0463,-0.0463,0.0722,-0.0722

