#: table_doi: 10.17182/hepdata.54967.v1/t88
#: name: Table 88
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 2.5-2.51 GeV.

#: data_file: Table88.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 2.863E+00,2.889E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 2.5-2.51
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,2.505 (BIN=2.5 TO 2.51)
#: SQRT(S) [GeV],,,2.5-2.51
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.8,-0.85,-0.75,0.0695,0.0144,-0.0144,0.0076,-0.0076
-0.7,-0.75,-0.65,0.048,0.0078,-0.0078,0.0053,-0.0053
-0.6000000000000001,-0.65,-0.55,0.0365,0.0065,-0.0065,0.004,-0.004
-0.5,-0.55,-0.45,0.0339,0.0049,-0.0049,0.0037,-0.0037
-0.4,-0.45,-0.35,0.0272,0.0038,-0.0038,0.003,-0.003
-0.3,-0.35,-0.25,0.0428,0.0054,-0.0054,0.0047,-0.0047
-0.2,-0.25,-0.15,0.0515,0.0056,-0.0056,0.0057,-0.0057
-0.1,-0.15,-0.05,0.0513,0.0062,-0.0062,0.0056,-0.0056
0.0,-0.05,0.05,0.0408,0.0041,-0.0041,0.0045,-0.0045
0.1,0.05,0.15,0.0545,0.0044,-0.0044,0.006,-0.006
0.2,0.15,0.25,0.0596,0.0045,-0.0045,0.0066,-0.0066
0.3,0.25,0.35,0.0799,0.0052,-0.0052,0.0088,-0.0088
0.4,0.35,0.45,0.1374,0.0069,-0.0069,0.0151,-0.0151
0.5,0.45,0.55,0.2466,0.0097,-0.0097,0.0271,-0.0271
0.6000000000000001,0.55,0.65,0.4555,0.0141,-0.0141,0.0501,-0.0501
0.7,0.65,0.75,0.7195,0.0177,-0.0177,0.0791,-0.0791
0.8,0.75,0.85,1.1269,0.0241,-0.0241,0.124,-0.124
0.87,0.85,0.89,1.0959,0.0424,-0.0424,0.1205,-0.1205

