#: table_doi: 10.17182/hepdata.54967.v1/t40
#: name: Table 40
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 2.02-2.03 GeV.

#: data_file: Table40.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 1.706E+00,1.728E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 2.02-2.03
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,2.025 (BIN=2.02 TO 2.03)
#: SQRT(S) [GeV],,,2.02-2.03
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.8999999999999999,-0.95,-0.85,0.6421,0.1215,-0.1215,0.0706,-0.0706
-0.8,-0.85,-0.75,0.5937,0.0508,-0.0508,0.0653,-0.0653
-0.7,-0.75,-0.65,0.4517,0.023,-0.023,0.0497,-0.0497
-0.6000000000000001,-0.65,-0.55,0.2878,0.0158,-0.0158,0.0317,-0.0317
-0.5,-0.55,-0.45,0.2648,0.0142,-0.0142,0.0291,-0.0291
-0.4,-0.45,-0.35,0.2033,0.0102,-0.0102,0.0224,-0.0224
-0.3,-0.35,-0.25,0.2143,0.0096,-0.0096,0.0236,-0.0236
-0.2,-0.25,-0.15,0.2664,0.011,-0.011,0.0293,-0.0293
-0.1,-0.15,-0.05,0.3692,0.0137,-0.0137,0.0406,-0.0406
0.0,-0.05,0.05,0.4881,0.0155,-0.0155,0.0537,-0.0537
0.1,0.05,0.15,0.6383,0.0215,-0.0215,0.0702,-0.0702
0.2,0.15,0.25,0.7657,0.0164,-0.0164,0.0842,-0.0842
0.3,0.25,0.35,0.9435,0.0192,-0.0192,0.1038,-0.1038
0.4,0.35,0.45,1.0511,0.0206,-0.0206,0.1156,-0.1156
0.5,0.45,0.55,1.2671,0.0219,-0.0219,0.1394,-0.1394
0.6000000000000001,0.55,0.65,1.4269,0.0235,-0.0235,0.157,-0.157
0.7,0.65,0.75,1.6317,0.0269,-0.0269,0.1795,-0.1795
0.8,0.75,0.85,1.7204,0.0336,-0.0336,0.1892,-0.1892
0.89,0.85,0.93,1.7103,0.0745,-0.0745,0.1881,-0.1881

