#: table_doi: 10.17182/hepdata.54967.v1/t90
#: name: Table 90
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 2.52-2.53 GeV.

#: data_file: Table90.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 2.916E+00,2.943E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 2.52-2.53
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,2.525 (BIN=2.52 TO 2.53)
#: SQRT(S) [GeV],,,2.52-2.53
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.8,-0.85,-0.75,0.0765,0.0315,-0.0315,0.0084,-0.0084
-0.7,-0.75,-0.65,0.0288,0.0065,-0.0065,0.0032,-0.0032
-0.6000000000000001,-0.65,-0.55,0.0296,0.0061,-0.0061,0.0033,-0.0033
-0.5,-0.55,-0.45,0.024,0.0042,-0.0042,0.0026,-0.0026
-0.4,-0.45,-0.35,0.0293,0.005,-0.005,0.0032,-0.0032
-0.3,-0.35,-0.25,0.0407,0.0054,-0.0054,0.0045,-0.0045
-0.2,-0.25,-0.15,0.0408,0.005,-0.005,0.0045,-0.0045
-0.1,-0.15,-0.05,0.0444,0.0061,-0.0061,0.0049,-0.0049
0.0,-0.05,0.05,0.0472,0.0046,-0.0046,0.0052,-0.0052
0.1,0.05,0.15,0.0491,0.0044,-0.0044,0.0054,-0.0054
0.2,0.15,0.25,0.0571,0.0047,-0.0047,0.0063,-0.0063
0.3,0.25,0.35,0.0744,0.0054,-0.0054,0.0082,-0.0082
0.4,0.35,0.45,0.1078,0.0065,-0.0065,0.0119,-0.0119
0.5,0.45,0.55,0.2303,0.0099,-0.0099,0.0253,-0.0253
0.6000000000000001,0.55,0.65,0.4289,0.0144,-0.0144,0.0472,-0.0472
0.7,0.65,0.75,0.7463,0.0194,-0.0194,0.0821,-0.0821
0.8,0.75,0.85,1.0618,0.0238,-0.0238,0.1168,-0.1168
0.87,0.85,0.89,1.0559,0.043,-0.043,0.1161,-0.1161

