#: table_doi: 10.17182/hepdata.54967.v1/t34
#: name: Table 34
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 1.96-1.97 GeV.

#: data_file: Table34.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 1.579E+00,1.600E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 1.96-1.97
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,1.965 (BIN=1.96 TO 1.97)
#: SQRT(S) [GeV],,,1.96-1.97
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.8999999999999999,-0.95,-0.85,1.0288,0.221,-0.221,0.1132,-0.1132
-0.8,-0.85,-0.75,0.8887,0.1189,-0.1189,0.0978,-0.0978
-0.69,-0.73,-0.65,0.7765,0.2766,-0.2766,0.0854,-0.0854
-0.6000000000000001,-0.65,-0.55,0.6063,0.0805,-0.0805,0.0667,-0.0667
-0.5,-0.55,-0.45,0.483,0.0522,-0.0522,0.0531,-0.0531
-0.4,-0.45,-0.35,0.4501,0.0161,-0.0161,0.0495,-0.0495
-0.3,-0.35,-0.25,0.4806,0.0153,-0.0153,0.0529,-0.0529
-0.2,-0.25,-0.15,0.5281,0.0153,-0.0153,0.0581,-0.0581
-0.1,-0.15,-0.05,0.617,0.018,-0.018,0.0679,-0.0679
0.0,-0.05,0.05,0.7423,0.0184,-0.0184,0.0817,-0.0817
0.1,0.05,0.15,0.9113,0.0259,-0.0259,0.1002,-0.1002
0.2,0.15,0.25,0.9915,0.0191,-0.0191,0.1091,-0.1091
0.3,0.25,0.35,1.196,0.0216,-0.0216,0.1316,-0.1316
0.4,0.35,0.45,1.3663,0.0245,-0.0245,0.1503,-0.1503
0.5,0.45,0.55,1.4298,0.0238,-0.0238,0.1573,-0.1573
0.6000000000000001,0.55,0.65,1.7131,0.03,-0.03,0.1884,-0.1884
0.7,0.65,0.75,1.909,0.0296,-0.0296,0.21,-0.21
0.8,0.75,0.85,2.2226,0.0413,-0.0413,0.2445,-0.2445
0.89,0.85,0.93,2.2172,0.0921,-0.0921,0.2439,-0.2439

