#: table_doi: 10.17182/hepdata.54967.v1/t99
#: name: Table 99
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 2.61-2.62 GeV.

#: data_file: Table99.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 3.162E+00,3.190E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 2.61-2.62
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,2.615 (BIN=2.61 TO 2.62)
#: SQRT(S) [GeV],,,2.61-2.62
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.8,-0.85,-0.75,0.0709,0.0125,-0.0125,0.0078,-0.0078
-0.7,-0.75,-0.65,0.0395,0.0059,-0.0059,0.0043,-0.0043
-0.6000000000000001,-0.65,-0.55,0.0146,0.0032,-0.0032,0.0016,-0.0016
-0.5,-0.55,-0.45,0.0189,0.0028,-0.0028,0.0021,-0.0021
-0.4,-0.45,-0.35,0.0172,0.0026,-0.0026,0.0019,-0.0019
-0.3,-0.35,-0.25,0.0234,0.0032,-0.0032,0.0026,-0.0026
-0.2,-0.25,-0.15,0.0207,0.0029,-0.0029,0.0023,-0.0023
-0.1,-0.15,-0.05,0.0294,0.0031,-0.0031,0.0032,-0.0032
0.0,-0.05,0.05,0.0288,0.0027,-0.0027,0.0032,-0.0032
0.1,0.05,0.15,0.0348,0.0028,-0.0028,0.0038,-0.0038
0.2,0.15,0.25,0.0332,0.0028,-0.0028,0.0037,-0.0037
0.3,0.25,0.35,0.0397,0.003,-0.003,0.0044,-0.0044
0.4,0.35,0.45,0.0738,0.0039,-0.0039,0.0081,-0.0081
0.5,0.45,0.55,0.1528,0.0063,-0.0063,0.0168,-0.0168
0.6000000000000001,0.55,0.65,0.3101,0.0094,-0.0094,0.0341,-0.0341
0.7,0.65,0.75,0.5933,0.0136,-0.0136,0.0653,-0.0653
0.8,0.75,0.85,0.9717,0.0178,-0.0178,0.1069,-0.1069
0.87,0.85,0.89,0.9172,0.0365,-0.0365,0.1009,-0.1009

