#: table_doi: 10.17182/hepdata.54967.v1/t67
#: name: Table 67
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 2.29-2.3 GeV.

#: data_file: Table67.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 2.326E+00,2.351E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 2.29-2.3
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,2.295 (BIN=2.29 TO 2.3)
#: SQRT(S) [GeV],,,2.29-2.3
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.89,-0.93,-0.85,0.209,0.1006,-0.1006,0.023,-0.023
-0.8,-0.85,-0.75,0.1884,0.0264,-0.0264,0.0207,-0.0207
-0.7,-0.75,-0.65,0.1544,0.0138,-0.0138,0.017,-0.017
-0.6000000000000001,-0.65,-0.55,0.1171,0.0095,-0.0095,0.0129,-0.0129
-0.5,-0.55,-0.45,0.0974,0.0077,-0.0077,0.0107,-0.0107
-0.4,-0.45,-0.35,0.1004,0.0074,-0.0074,0.011,-0.011
-0.3,-0.35,-0.25,0.0831,0.0062,-0.0062,0.0091,-0.0091
-0.2,-0.25,-0.15,0.0896,0.007,-0.007,0.0099,-0.0099
-0.1,-0.15,-0.05,0.0847,0.0065,-0.0065,0.0093,-0.0093
0.0,-0.05,0.05,0.1218,0.009,-0.009,0.0134,-0.0134
0.1,0.05,0.15,0.1383,0.0068,-0.0068,0.0152,-0.0152
0.2,0.15,0.25,0.1943,0.0079,-0.0079,0.0214,-0.0214
0.3,0.25,0.35,0.2477,0.0091,-0.0091,0.0272,-0.0272
0.4,0.35,0.45,0.3938,0.0118,-0.0118,0.0433,-0.0433
0.5,0.45,0.55,0.5512,0.0137,-0.0137,0.0606,-0.0606
0.6000000000000001,0.55,0.65,0.778,0.0168,-0.0168,0.0856,-0.0856
0.7,0.65,0.75,1.1331,0.0223,-0.0223,0.1246,-0.1246
0.8,0.75,0.85,1.4314,0.0266,-0.0266,0.1575,-0.1575
0.88,0.85,0.91,1.3201,0.0465,-0.0465,0.1452,-0.1452

