#: table_doi: 10.17182/hepdata.54967.v1/t110
#: name: Table 110
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 2.72-2.73 GeV.

#: data_file: Table110.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 3.475E+00,3.504E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 2.72-2.73
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,2.725 (BIN=2.72 TO 2.73)
#: SQRT(S) [GeV],,,2.72-2.73
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.8,-0.85,-0.75,0.045,0.0151,-0.0151,0.0049,-0.0049
-0.7,-0.75,-0.65,0.0237,0.0061,-0.0061,0.0026,-0.0026
-0.6000000000000001,-0.65,-0.55,0.0142,0.0041,-0.0041,0.0016,-0.0016
-0.5,-0.55,-0.45,0.012,0.0035,-0.0035,0.0013,-0.0013
-0.4,-0.45,-0.35,0.0193,0.0037,-0.0037,0.0021,-0.0021
-0.3,-0.35,-0.25,0.0162,0.0031,-0.0031,0.0018,-0.0018
-0.2,-0.25,-0.15,0.0179,0.0044,-0.0044,0.002,-0.002
-0.1,-0.15,-0.05,0.0185,0.0029,-0.0029,0.002,-0.002
0.0,-0.05,0.05,0.0165,0.0026,-0.0026,0.0018,-0.0018
0.1,0.05,0.15,0.0158,0.0024,-0.0024,0.0017,-0.0017
0.2,0.15,0.25,0.0168,0.0025,-0.0025,0.0018,-0.0018
0.3,0.25,0.35,0.0195,0.0026,-0.0026,0.0021,-0.0021
0.4,0.35,0.45,0.0401,0.0036,-0.0036,0.0044,-0.0044
0.5,0.45,0.55,0.1021,0.0064,-0.0064,0.0112,-0.0112
0.6000000000000001,0.55,0.65,0.2095,0.0094,-0.0094,0.023,-0.023
0.7,0.65,0.75,0.427,0.0135,-0.0135,0.047,-0.047
0.8,0.75,0.85,0.7706,0.0189,-0.0189,0.0848,-0.0848
0.87,0.85,0.89,1.1275,0.4561,-0.4561,0.124,-0.124

