#: table_doi: 10.17182/hepdata.54967.v1/t24
#: name: Table 24
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 1.85-1.86 GeV.

#: data_file: Table24.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 1.355E+00,1.375E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 1.85-1.86
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,1.855 (BIN=1.85 TO 1.86)
#: SQRT(S) [GeV],,,1.85-1.86
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.6000000000000001,-0.65,-0.55,0.6936,0.0434,-0.0434,0.0763,-0.0763
-0.5,-0.55,-0.45,0.6956,0.04,-0.04,0.0765,-0.0765
-0.4,-0.45,-0.35,0.7301,0.0326,-0.0326,0.0803,-0.0803
-0.3,-0.35,-0.25,0.8145,0.0317,-0.0317,0.0896,-0.0896
-0.2,-0.25,-0.15,0.8932,0.0327,-0.0327,0.0983,-0.0983
-0.1,-0.15,-0.05,1.0095,0.0454,-0.0454,0.111,-0.111
0.0,-0.05,0.05,1.1377,0.0559,-0.0559,0.1251,-0.1251
0.1,0.05,0.15,1.2851,0.0462,-0.0462,0.1414,-0.1414
0.2,0.15,0.25,1.371,0.0442,-0.0442,0.1508,-0.1508
0.3,0.25,0.35,1.4366,0.0359,-0.0359,0.158,-0.158
0.4,0.35,0.45,1.612,0.0455,-0.0455,0.1773,-0.1773
0.5,0.45,0.55,1.7273,0.0457,-0.0457,0.19,-0.19
0.6000000000000001,0.55,0.65,1.8573,0.0462,-0.0462,0.2043,-0.2043
0.7,0.65,0.75,1.9973,0.0491,-0.0491,0.2197,-0.2197
0.8,0.75,0.85,1.9569,0.0742,-0.0742,0.2153,-0.2153

