#: table_doi: 10.17182/hepdata.54967.v1/t86
#: name: Table 86
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 2.48-2.49 GeV.

#: data_file: Table86.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 2.809E+00,2.836E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 2.48-2.49
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,2.485 (BIN=2.48 TO 2.49)
#: SQRT(S) [GeV],,,2.48-2.49
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.8,-0.85,-0.75,0.1023,0.0191,-0.0191,0.0113,-0.0113
-0.7,-0.75,-0.65,0.0644,0.0092,-0.0092,0.0071,-0.0071
-0.6000000000000001,-0.65,-0.55,0.0517,0.0076,-0.0076,0.0057,-0.0057
-0.5,-0.55,-0.45,0.0317,0.0046,-0.0046,0.0035,-0.0035
-0.4,-0.45,-0.35,0.04,0.0047,-0.0047,0.0044,-0.0044
-0.3,-0.35,-0.25,0.053,0.0056,-0.0056,0.0058,-0.0058
-0.2,-0.25,-0.15,0.0515,0.005,-0.005,0.0057,-0.0057
-0.1,-0.15,-0.05,0.0665,0.007,-0.007,0.0073,-0.0073
0.0,-0.05,0.05,0.0497,0.0044,-0.0044,0.0055,-0.0055
0.1,0.05,0.15,0.0679,0.0048,-0.0048,0.0075,-0.0075
0.2,0.15,0.25,0.0646,0.0046,-0.0046,0.0071,-0.0071
0.3,0.25,0.35,0.0803,0.0053,-0.0053,0.0088,-0.0088
0.4,0.35,0.45,0.1342,0.0067,-0.0067,0.0148,-0.0148
0.5,0.45,0.55,0.2706,0.0099,-0.0099,0.0298,-0.0298
0.6000000000000001,0.55,0.65,0.5173,0.0203,-0.0203,0.0569,-0.0569
0.7,0.65,0.75,0.8382,0.0256,-0.0256,0.0922,-0.0922
0.8,0.75,0.85,1.1559,0.0282,-0.0282,0.1271,-0.1271
0.87,0.85,0.89,1.2641,0.0606,-0.0606,0.1391,-0.1391

