#: table_doi: 10.17182/hepdata.54967.v1/t79
#: name: Table 79
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 2.41-2.42 GeV.

#: data_file: Table79.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 2.627E+00,2.653E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 2.41-2.42
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,2.415 (BIN=2.41 TO 2.42)
#: SQRT(S) [GeV],,,2.41-2.42
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.8,-0.85,-0.75,0.1046,0.0187,-0.0187,0.0115,-0.0115
-0.7,-0.75,-0.65,0.0659,0.0099,-0.0099,0.0072,-0.0072
-0.6000000000000001,-0.65,-0.55,0.0629,0.0077,-0.0077,0.0069,-0.0069
-0.5,-0.55,-0.45,0.0436,0.0056,-0.0056,0.0048,-0.0048
-0.4,-0.45,-0.35,0.0562,0.0057,-0.0057,0.0062,-0.0062
-0.3,-0.35,-0.25,0.0624,0.0062,-0.0062,0.0069,-0.0069
-0.2,-0.25,-0.15,0.0622,0.0058,-0.0058,0.0068,-0.0068
-0.1,-0.15,-0.05,0.0794,0.0084,-0.0084,0.0087,-0.0087
0.0,-0.05,0.05,0.0612,0.0052,-0.0052,0.0067,-0.0067
0.1,0.05,0.15,0.0622,0.0048,-0.0048,0.0068,-0.0068
0.2,0.15,0.25,0.0802,0.0053,-0.0053,0.0088,-0.0088
0.3,0.25,0.35,0.1242,0.0067,-0.0067,0.0137,-0.0137
0.4,0.35,0.45,0.1839,0.0082,-0.0082,0.0202,-0.0202
0.5,0.45,0.55,0.3449,0.0115,-0.0115,0.0379,-0.0379
0.6000000000000001,0.55,0.65,0.577,0.0162,-0.0162,0.0635,-0.0635
0.7,0.65,0.75,0.8554,0.02,-0.02,0.0941,-0.0941
0.8,0.75,0.85,1.1602,0.0242,-0.0242,0.1276,-0.1276
0.88,0.85,0.91,1.3088,0.081,-0.081,0.144,-0.144

