#: table_doi: 10.17182/hepdata.54967.v1/t111
#: name: Table 111
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 2.75-2.76 GeV.

#: data_file: Table111.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 3.562E+00,3.592E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 2.75-2.76
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,2.755 (BIN=2.75 TO 2.76)
#: SQRT(S) [GeV],,,2.75-2.76
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.8,-0.85,-0.75,0.0306,0.0098,-0.0098,0.0034,-0.0034
-0.7,-0.75,-0.65,0.0205,0.0055,-0.0055,0.0023,-0.0023
-0.6000000000000001,-0.65,-0.55,0.016,0.0042,-0.0042,0.0018,-0.0018
-0.5,-0.55,-0.45,0.0138,0.0038,-0.0038,0.0015,-0.0015
-0.4,-0.45,-0.35,0.0154,0.0036,-0.0036,0.0017,-0.0017
-0.3,-0.35,-0.25,0.0085,0.0022,-0.0022,0.0009,-0.0009
-0.21000000000000002,-0.25,-0.17,0.0205,0.0093,-0.0093,0.0023,-0.0023
-0.1,-0.15,-0.05,0.0171,0.0032,-0.0032,0.0019,-0.0019
0.0,-0.05,0.05,0.0153,0.0035,-0.0035,0.0017,-0.0017
0.1,0.05,0.15,0.0113,0.0024,-0.0024,0.0012,-0.0012
0.2,0.15,0.25,0.0147,0.0039,-0.0039,0.0016,-0.0016
0.3,0.25,0.35,0.0166,0.0024,-0.0024,0.0018,-0.0018
0.4,0.35,0.45,0.0337,0.0034,-0.0034,0.0037,-0.0037
0.5,0.45,0.55,0.0724,0.0054,-0.0054,0.008,-0.008
0.6000000000000001,0.55,0.65,0.1758,0.0085,-0.0085,0.0193,-0.0193
0.7,0.65,0.75,0.3668,0.0126,-0.0126,0.0403,-0.0403
0.8,0.75,0.85,0.6986,0.0181,-0.0181,0.0768,-0.0768
0.86,0.85,0.87,0.8673,0.0526,-0.0526,0.0954,-0.0954

