#: table_doi: 10.17182/hepdata.54967.v1/t70
#: name: Table 70
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 2.32-2.33 GeV.

#: data_file: Table70.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 2.400E+00,2.425E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 2.32-2.33
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,2.325 (BIN=2.32 TO 2.33)
#: SQRT(S) [GeV],,,2.32-2.33
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.8,-0.85,-0.75,0.1683,0.0249,-0.0249,0.0185,-0.0185
-0.7,-0.75,-0.65,0.1229,0.0121,-0.0121,0.0135,-0.0135
-0.6000000000000001,-0.65,-0.55,0.1064,0.0091,-0.0091,0.0117,-0.0117
-0.5,-0.55,-0.45,0.0899,0.0075,-0.0075,0.0099,-0.0099
-0.4,-0.45,-0.35,0.0704,0.0059,-0.0059,0.0077,-0.0077
-0.3,-0.35,-0.25,0.0771,0.0061,-0.0061,0.0085,-0.0085
-0.2,-0.25,-0.15,0.074,0.0063,-0.0063,0.0081,-0.0081
-0.1,-0.15,-0.05,0.0944,0.0076,-0.0076,0.0104,-0.0104
0.0,-0.05,0.05,0.1002,0.0076,-0.0076,0.011,-0.011
0.1,0.05,0.15,0.1076,0.0062,-0.0062,0.0118,-0.0118
0.2,0.15,0.25,0.1613,0.0071,-0.0071,0.0177,-0.0177
0.3,0.25,0.35,0.2079,0.0085,-0.0085,0.0229,-0.0229
0.4,0.35,0.45,0.3253,0.0107,-0.0107,0.0358,-0.0358
0.5,0.45,0.55,0.472,0.0126,-0.0126,0.0519,-0.0519
0.6000000000000001,0.55,0.65,0.7214,0.0171,-0.0171,0.0794,-0.0794
0.7,0.65,0.75,0.9586,0.0202,-0.0202,0.1054,-0.1054
0.8,0.75,0.85,1.3336,0.0306,-0.0306,0.1467,-0.1467
0.88,0.85,0.91,1.3499,0.0536,-0.0536,0.1485,-0.1485

