#: table_doi: 10.17182/hepdata.54967.v1/t27
#: name: Table 27
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 1.88-1.89 GeV.

#: data_file: Table27.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 1.415E+00,1.435E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 1.88-1.89
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,1.885 (BIN=1.88 TO 1.89)
#: SQRT(S) [GeV],,,1.88-1.89
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.7,-0.75,-0.65,0.714,0.0659,-0.0659,0.0785,-0.0785
-0.6000000000000001,-0.65,-0.55,0.7468,0.049,-0.049,0.0821,-0.0821
-0.5,-0.55,-0.45,0.8237,0.0615,-0.0615,0.0906,-0.0906
-0.4,-0.45,-0.35,0.7994,0.0331,-0.0331,0.0879,-0.0879
-0.3,-0.35,-0.25,0.794,0.0301,-0.0301,0.0873,-0.0873
-0.2,-0.25,-0.15,0.9448,0.0322,-0.0322,0.1039,-0.1039
-0.1,-0.15,-0.05,1.0968,0.038,-0.038,0.1206,-0.1206
0.0,-0.05,0.05,1.0514,0.0354,-0.0354,0.1157,-0.1157
0.1,0.05,0.15,1.3758,0.0491,-0.0491,0.1513,-0.1513
0.2,0.15,0.25,1.2488,0.0358,-0.0358,0.1374,-0.1374
0.3,0.25,0.35,1.4038,0.0353,-0.0353,0.1544,-0.1544
0.4,0.35,0.45,1.5278,0.0398,-0.0398,0.1681,-0.1681
0.5,0.45,0.55,1.5242,0.0498,-0.0498,0.1677,-0.1677
0.6000000000000001,0.55,0.65,1.7152,0.0582,-0.0582,0.1887,-0.1887
0.7,0.65,0.75,1.8554,0.0478,-0.0478,0.2041,-0.2041
0.8,0.75,0.85,1.9094,0.0693,-0.0693,0.21,-0.21
0.89,0.85,0.93,2.2606,0.1686,-0.1686,0.2487,-0.2487

