#: table_doi: 10.17182/hepdata.54967.v1/t101
#: name: Table 101
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 2.63-2.64 GeV.

#: data_file: Table101.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 3.218E+00,3.246E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 2.63-2.64
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,2.635 (BIN=2.63 TO 2.64)
#: SQRT(S) [GeV],,,2.63-2.64
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.8,-0.85,-0.75,0.0619,0.0159,-0.0159,0.0068,-0.0068
-0.7,-0.75,-0.65,0.0407,0.0074,-0.0074,0.0045,-0.0045
-0.6000000000000001,-0.65,-0.55,0.0262,0.0055,-0.0055,0.0029,-0.0029
-0.5,-0.55,-0.45,0.0174,0.0034,-0.0034,0.0019,-0.0019
-0.4,-0.45,-0.35,0.021,0.0039,-0.0039,0.0023,-0.0023
-0.3,-0.35,-0.25,0.0287,0.0044,-0.0044,0.0032,-0.0032
-0.2,-0.25,-0.15,0.0253,0.0044,-0.0044,0.0028,-0.0028
-0.1,-0.15,-0.05,0.0233,0.0035,-0.0035,0.0026,-0.0026
0.0,-0.05,0.05,0.0266,0.0034,-0.0034,0.0029,-0.0029
0.1,0.05,0.15,0.0299,0.0033,-0.0033,0.0033,-0.0033
0.2,0.15,0.25,0.0257,0.0031,-0.0031,0.0028,-0.0028
0.3,0.25,0.35,0.0344,0.0036,-0.0036,0.0038,-0.0038
0.4,0.35,0.45,0.0625,0.0046,-0.0046,0.0069,-0.0069
0.5,0.45,0.55,0.1342,0.0075,-0.0075,0.0148,-0.0148
0.6000000000000001,0.55,0.65,0.2591,0.0105,-0.0105,0.0285,-0.0285
0.7,0.65,0.75,0.564,0.0164,-0.0164,0.062,-0.062
0.8,0.75,0.85,0.8918,0.0206,-0.0206,0.0981,-0.0981
0.87,0.85,0.89,1.1291,0.0599,-0.0599,0.1242,-0.1242

