#: table_doi: 10.17182/hepdata.54967.v1/t61
#: name: Table 61
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 2.23-2.24 GeV.

#: data_file: Table61.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 2.182E+00,2.206E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 2.23-2.24
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,2.235 (BIN=2.23 TO 2.24)
#: SQRT(S) [GeV],,,2.23-2.24
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.89,-0.93,-0.85,0.2879,0.1313,-0.1313,0.0317,-0.0317
-0.8,-0.85,-0.75,0.2431,0.0306,-0.0306,0.0267,-0.0267
-0.7,-0.75,-0.65,0.1884,0.0137,-0.0137,0.0207,-0.0207
-0.6000000000000001,-0.65,-0.55,0.1547,0.0115,-0.0115,0.017,-0.017
-0.5,-0.55,-0.45,0.1218,0.0089,-0.0089,0.0134,-0.0134
-0.4,-0.45,-0.35,0.103,0.0077,-0.0077,0.0113,-0.0113
-0.3,-0.35,-0.25,0.0995,0.0069,-0.0069,0.0109,-0.0109
-0.2,-0.25,-0.15,0.1098,0.0079,-0.0079,0.0121,-0.0121
-0.1,-0.15,-0.05,0.1257,0.0079,-0.0079,0.0138,-0.0138
0.0,-0.05,0.05,0.1373,0.0098,-0.0098,0.0151,-0.0151
0.1,0.05,0.15,0.1848,0.0084,-0.0084,0.0203,-0.0203
0.2,0.15,0.25,0.2675,0.0096,-0.0096,0.0294,-0.0294
0.3,0.25,0.35,0.3583,0.0117,-0.0117,0.0394,-0.0394
0.4,0.35,0.45,0.4541,0.0131,-0.0131,0.05,-0.05
0.5,0.45,0.55,0.6317,0.0149,-0.0149,0.0695,-0.0695
0.6000000000000001,0.55,0.65,0.9216,0.0187,-0.0187,0.1014,-0.1014
0.7,0.65,0.75,1.191,0.0235,-0.0235,0.131,-0.131
0.8,0.75,0.85,1.4829,0.0288,-0.0288,0.1631,-0.1631
0.88,0.85,0.91,1.5145,0.055,-0.055,0.1666,-0.1666

