#: table_doi: 10.17182/hepdata.54967.v1/t16
#: name: Table 16
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 1.77-1.78 GeV.

#: data_file: Table16.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 1.201E+00,1.220E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 1.77-1.78
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,1.775 (BIN=1.77 TO 1.78)
#: SQRT(S) [GeV],,,1.77-1.78
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.5,-0.55,-0.45,0.5959,0.0727,-0.0727,0.0655,-0.0655
-0.4,-0.45,-0.35,0.6672,0.0589,-0.0589,0.0734,-0.0734
-0.3,-0.35,-0.25,0.7684,0.0377,-0.0377,0.0845,-0.0845
-0.2,-0.25,-0.15,0.8562,0.0357,-0.0357,0.0942,-0.0942
-0.1,-0.15,-0.05,1.0281,0.0441,-0.0441,0.1131,-0.1131
0.0,-0.05,0.05,1.0007,0.0423,-0.0423,0.1101,-0.1101
0.1,0.05,0.15,1.2283,0.0455,-0.0455,0.1351,-0.1351
0.2,0.15,0.25,1.4443,0.056,-0.056,0.1589,-0.1589
0.3,0.25,0.35,1.5157,0.0417,-0.0417,0.1667,-0.1667
0.4,0.35,0.45,1.5756,0.0659,-0.0659,0.1733,-0.1733
0.5,0.45,0.55,1.621,0.0927,-0.0927,0.1783,-0.1783
0.6000000000000001,0.55,0.65,1.9099,0.0783,-0.0783,0.2101,-0.2101
0.7,0.65,0.75,2.103,0.1232,-0.1232,0.2313,-0.2313
0.8,0.75,0.85,2.1105,0.1042,-0.1042,0.2322,-0.2322

