#: table_doi: 10.17182/hepdata.54967.v1/t75
#: name: Table 75
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 2.37-2.38 GeV.

#: data_file: Table75.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 2.525E+00,2.550E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 2.37-2.38
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,2.375 (BIN=2.37 TO 2.38)
#: SQRT(S) [GeV],,,2.37-2.38
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.8,-0.85,-0.75,0.1385,0.0217,-0.0217,0.0152,-0.0152
-0.7,-0.75,-0.65,0.1028,0.0112,-0.0112,0.0113,-0.0113
-0.6000000000000001,-0.65,-0.55,0.0819,0.0077,-0.0077,0.009,-0.009
-0.5,-0.55,-0.45,0.0729,0.0065,-0.0065,0.008,-0.008
-0.4,-0.45,-0.35,0.0655,0.0057,-0.0057,0.0072,-0.0072
-0.3,-0.35,-0.25,0.0604,0.0055,-0.0055,0.0066,-0.0066
-0.2,-0.25,-0.15,0.0543,0.0051,-0.0051,0.006,-0.006
-0.1,-0.15,-0.05,0.0958,0.0085,-0.0085,0.0105,-0.0105
0.0,-0.05,0.05,0.0849,0.0061,-0.0061,0.0093,-0.0093
0.1,0.05,0.15,0.1025,0.0064,-0.0064,0.0113,-0.0113
0.2,0.15,0.25,0.1156,0.006,-0.006,0.0127,-0.0127
0.3,0.25,0.35,0.1754,0.0076,-0.0076,0.0193,-0.0193
0.4,0.35,0.45,0.2362,0.0089,-0.0089,0.026,-0.026
0.5,0.45,0.55,0.4157,0.0119,-0.0119,0.0457,-0.0457
0.6000000000000001,0.55,0.65,0.6612,0.0163,-0.0163,0.0727,-0.0727
0.7,0.65,0.75,1.0314,0.0214,-0.0214,0.1135,-0.1135
0.8,0.75,0.85,1.314,0.025,-0.025,0.1445,-0.1445
0.88,0.85,0.91,1.4835,0.0609,-0.0609,0.1632,-0.1632

