#: table_doi: 10.17182/hepdata.54967.v1/t97
#: name: Table 97
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 2.59-2.6 GeV.

#: data_file: Table97.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 3.107E+00,3.134E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 2.59-2.6
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,2.595 (BIN=2.59 TO 2.6)
#: SQRT(S) [GeV],,,2.59-2.6
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.5,-0.55,-0.45,0.0185,0.0055,-0.0055,0.002,-0.002
-0.4,-0.45,-0.35,0.0298,0.0097,-0.0097,0.0033,-0.0033
-0.3,-0.35,-0.25,0.0282,0.0049,-0.0049,0.0031,-0.0031
-0.2,-0.25,-0.15,0.0359,0.0057,-0.0057,0.0039,-0.0039
-0.1,-0.15,-0.05,0.0325,0.0048,-0.0048,0.0036,-0.0036
0.0,-0.05,0.05,0.0329,0.004,-0.004,0.0036,-0.0036
0.1,0.05,0.15,0.0237,0.0032,-0.0032,0.0026,-0.0026
0.2,0.15,0.25,0.0292,0.0035,-0.0035,0.0032,-0.0032
0.3,0.25,0.35,0.0459,0.0044,-0.0044,0.005,-0.005
0.4,0.35,0.45,0.0828,0.0058,-0.0058,0.0091,-0.0091
0.5,0.45,0.55,0.1668,0.009,-0.009,0.0183,-0.0183
0.6000000000000001,0.55,0.65,0.336,0.0131,-0.0131,0.037,-0.037
0.7,0.65,0.75,0.5697,0.0172,-0.0172,0.0627,-0.0627
0.8,0.75,0.85,0.9055,0.0221,-0.0221,0.0996,-0.0996
0.87,0.85,0.89,0.9959,0.05,-0.05,0.1095,-0.1095

