#: table_doi: 10.17182/hepdata.54967.v1/t25
#: name: Table 25
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 1.86-1.87 GeV.

#: data_file: Table25.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 1.375E+00,1.395E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 1.86-1.87
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,1.865 (BIN=1.86 TO 1.87)
#: SQRT(S) [GeV],,,1.86-1.87
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.7,-0.75,-0.65,0.6184,0.0568,-0.0568,0.068,-0.068
-0.6000000000000001,-0.65,-0.55,0.7084,0.0416,-0.0416,0.0779,-0.0779
-0.5,-0.55,-0.45,0.7578,0.0392,-0.0392,0.0834,-0.0834
-0.4,-0.45,-0.35,0.7797,0.0361,-0.0361,0.0858,-0.0858
-0.3,-0.35,-0.25,0.7875,0.0329,-0.0329,0.0866,-0.0866
-0.2,-0.25,-0.15,0.898,0.0321,-0.0321,0.0988,-0.0988
-0.1,-0.15,-0.05,1.0509,0.0376,-0.0376,0.1156,-0.1156
0.0,-0.05,0.05,1.1769,0.0392,-0.0392,0.1295,-0.1295
0.1,0.05,0.15,1.4046,0.0482,-0.0482,0.1545,-0.1545
0.2,0.15,0.25,1.4002,0.0412,-0.0412,0.154,-0.154
0.3,0.25,0.35,1.3801,0.0345,-0.0345,0.1518,-0.1518
0.4,0.35,0.45,1.5906,0.0413,-0.0413,0.175,-0.175
0.5,0.45,0.55,1.6753,0.0404,-0.0404,0.1843,-0.1843
0.6000000000000001,0.55,0.65,1.7973,0.0396,-0.0396,0.1977,-0.1977
0.7,0.65,0.75,1.9633,0.0478,-0.0478,0.216,-0.216
0.8,0.75,0.85,1.9899,0.0767,-0.0767,0.2189,-0.2189
0.89,0.85,0.93,1.9558,0.1382,-0.1382,0.2151,-0.2151

