#: table_doi: 10.17182/hepdata.54967.v1/t62
#: name: Table 62
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 2.24-2.25 GeV.

#: data_file: Table62.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 2.206E+00,2.230E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 2.24-2.25
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,2.245 (BIN=2.24 TO 2.25)
#: SQRT(S) [GeV],,,2.24-2.25
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.89,-0.93,-0.85,0.2143,0.0659,-0.0659,0.0236,-0.0236
-0.8,-0.85,-0.75,0.2191,0.0287,-0.0287,0.0241,-0.0241
-0.7,-0.75,-0.65,0.1496,0.0135,-0.0135,0.0165,-0.0165
-0.6000000000000001,-0.65,-0.55,0.1471,0.0109,-0.0109,0.0162,-0.0162
-0.5,-0.55,-0.45,0.1297,0.009,-0.009,0.0143,-0.0143
-0.4,-0.45,-0.35,0.1181,0.0079,-0.0079,0.013,-0.013
-0.3,-0.35,-0.25,0.1058,0.0068,-0.0068,0.0116,-0.0116
-0.2,-0.25,-0.15,0.097,0.0072,-0.0072,0.0107,-0.0107
-0.1,-0.15,-0.05,0.1023,0.0069,-0.0069,0.0113,-0.0113
0.0,-0.05,0.05,0.1427,0.0103,-0.0103,0.0157,-0.0157
0.1,0.05,0.15,0.168,0.0078,-0.0078,0.0185,-0.0185
0.2,0.15,0.25,0.2287,0.0126,-0.0126,0.0252,-0.0252
0.3,0.25,0.35,0.3264,0.0108,-0.0108,0.0359,-0.0359
0.4,0.35,0.45,0.4457,0.0127,-0.0127,0.049,-0.049
0.5,0.45,0.55,0.6296,0.015,-0.015,0.0693,-0.0693
0.6000000000000001,0.55,0.65,0.9119,0.0189,-0.0189,0.1003,-0.1003
0.7,0.65,0.75,1.1198,0.0223,-0.0223,0.1232,-0.1232
0.8,0.75,0.85,1.4506,0.0273,-0.0273,0.1596,-0.1596
0.88,0.85,0.91,1.3917,0.0614,-0.0614,0.1531,-0.1531

