#: table_doi: 10.17182/hepdata.54967.v1/t94
#: name: Table 94
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 2.56-2.57 GeV.

#: data_file: Table94.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 3.024E+00,3.052E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 2.56-2.57
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,2.565 (BIN=2.56 TO 2.57)
#: SQRT(S) [GeV],,,2.56-2.57
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.4,-0.45,-0.35,0.0261,0.0049,-0.0049,0.0029,-0.0029
-0.3,-0.35,-0.25,0.0326,0.0045,-0.0045,0.0036,-0.0036
-0.2,-0.25,-0.15,0.0319,0.0043,-0.0043,0.0035,-0.0035
-0.1,-0.15,-0.05,0.0346,0.0047,-0.0047,0.0038,-0.0038
0.0,-0.05,0.05,0.039,0.0039,-0.0039,0.0043,-0.0043
0.1,0.05,0.15,0.0371,0.0036,-0.0036,0.0041,-0.0041
0.2,0.15,0.25,0.046,0.004,-0.004,0.0051,-0.0051
0.3,0.25,0.35,0.0573,0.0044,-0.0044,0.0063,-0.0063
0.4,0.35,0.45,0.0963,0.0057,-0.0057,0.0106,-0.0106
0.5,0.45,0.55,0.1954,0.0084,-0.0084,0.0215,-0.0215
0.6000000000000001,0.55,0.65,0.394,0.0129,-0.0129,0.0433,-0.0433
0.7,0.65,0.75,0.699,0.0176,-0.0176,0.0769,-0.0769
0.8,0.75,0.85,1.0463,0.0222,-0.0222,0.1151,-0.1151
0.87,0.85,0.89,1.0448,0.045,-0.045,0.1149,-0.1149

