#: table_doi: 10.17182/hepdata.54967.v1/t59
#: name: Table 59
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 2.21-2.22 GeV.

#: data_file: Table59.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 2.134E+00,2.158E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 2.21-2.22
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,2.215 (BIN=2.21 TO 2.22)
#: SQRT(S) [GeV],,,2.21-2.22
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.89,-0.93,-0.85,0.2612,0.0796,-0.0796,0.0287,-0.0287
-0.8,-0.85,-0.75,0.2114,0.0248,-0.0248,0.0233,-0.0233
-0.7,-0.75,-0.65,0.2015,0.0136,-0.0136,0.0222,-0.0222
-0.6000000000000001,-0.65,-0.55,0.1842,0.012,-0.012,0.0203,-0.0203
-0.5,-0.55,-0.45,0.1487,0.0096,-0.0096,0.0164,-0.0164
-0.4,-0.45,-0.35,0.1295,0.0082,-0.0082,0.0142,-0.0142
-0.3,-0.35,-0.25,0.1082,0.0068,-0.0068,0.0119,-0.0119
-0.2,-0.25,-0.15,0.1141,0.0079,-0.0079,0.0126,-0.0126
-0.1,-0.15,-0.05,0.1265,0.0074,-0.0074,0.0139,-0.0139
0.0,-0.05,0.05,0.1806,0.0116,-0.0116,0.0199,-0.0199
0.1,0.05,0.15,0.2238,0.0091,-0.0091,0.0246,-0.0246
0.2,0.15,0.25,0.2904,0.0096,-0.0096,0.0319,-0.0319
0.3,0.25,0.35,0.3936,0.012,-0.012,0.0433,-0.0433
0.4,0.35,0.45,0.5313,0.0138,-0.0138,0.0584,-0.0584
0.5,0.45,0.55,0.6943,0.0157,-0.0157,0.0764,-0.0764
0.6000000000000001,0.55,0.65,0.9801,0.0188,-0.0188,0.1078,-0.1078
0.7,0.65,0.75,1.2751,0.0238,-0.0238,0.1403,-0.1403
0.8,0.75,0.85,1.5369,0.0282,-0.0282,0.1691,-0.1691
0.88,0.85,0.91,1.5405,0.0515,-0.0515,0.1695,-0.1695

