#: table_doi: 10.17182/hepdata.54967.v1/t56
#: name: Table 56
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 2.18-2.19 GeV.

#: data_file: Table56.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 2.064E+00,2.088E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 2.18-2.19
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,2.185 (BIN=2.18 TO 2.19)
#: SQRT(S) [GeV],,,2.18-2.19
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.8999999999999999,-0.95,-0.85,0.1899,0.0651,-0.0651,0.0209,-0.0209
-0.8,-0.85,-0.75,0.3215,0.0367,-0.0367,0.0354,-0.0354
-0.7,-0.75,-0.65,0.2201,0.0165,-0.0165,0.0242,-0.0242
-0.6000000000000001,-0.65,-0.55,0.2012,0.0124,-0.0124,0.0221,-0.0221
-0.5,-0.55,-0.45,0.1659,0.0102,-0.0102,0.0182,-0.0182
-0.4,-0.45,-0.35,0.1431,0.0084,-0.0084,0.0157,-0.0157
-0.3,-0.35,-0.25,0.1281,0.0073,-0.0073,0.0141,-0.0141
-0.2,-0.25,-0.15,0.1432,0.0086,-0.0086,0.0158,-0.0158
-0.1,-0.15,-0.05,0.1567,0.0084,-0.0084,0.0172,-0.0172
0.0,-0.05,0.05,0.2264,0.0127,-0.0127,0.0249,-0.0249
0.1,0.05,0.15,0.2566,0.0095,-0.0095,0.0282,-0.0282
0.2,0.15,0.25,0.3342,0.0103,-0.0103,0.0368,-0.0368
0.3,0.25,0.35,0.4908,0.0134,-0.0134,0.054,-0.054
0.4,0.35,0.45,0.6413,0.0152,-0.0152,0.0705,-0.0705
0.5,0.45,0.55,0.819,0.0169,-0.0169,0.0901,-0.0901
0.6000000000000001,0.55,0.65,1.0407,0.0191,-0.0191,0.1145,-0.1145
0.7,0.65,0.75,1.2782,0.0234,-0.0234,0.1406,-0.1406
0.8,0.75,0.85,1.5131,0.0318,-0.0318,0.1664,-0.1664
0.88,0.85,0.91,1.6669,0.0563,-0.0563,0.1834,-0.1834

