#: table_doi: 10.17182/hepdata.54967.v1/t118
#: name: Table 118
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 2.82-2.83 GeV.

#: data_file: Table118.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 3.770E+00,3.800E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 2.82-2.83
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,2.825 (BIN=2.82 TO 2.83)
#: SQRT(S) [GeV],,,2.82-2.83
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.8,-0.85,-0.75,0.0254,0.0093,-0.0093,0.0028,-0.0028
-0.7,-0.75,-0.65,0.0171,0.0049,-0.0049,0.0019,-0.0019
-0.6000000000000001,-0.65,-0.55,0.0182,0.0058,-0.0058,0.002,-0.002
-0.5,-0.55,-0.45,0.0096,0.0031,-0.0031,0.0011,-0.0011
-0.4,-0.45,-0.35,0.0088,0.0033,-0.0033,0.001,-0.001
-0.3,-0.35,-0.25,0.0098,0.0026,-0.0026,0.0011,-0.0011
-0.2,-0.24,-0.16,0.0104,0.0038,-0.0038,0.0011,-0.0011
-0.1,-0.15,-0.05,0.0075,0.0018,-0.0018,0.0008,-0.0008
0.0,-0.05,0.05,0.01,0.002,-0.002,0.0011,-0.0011
0.1,0.05,0.15,0.0102,0.0019,-0.0019,0.0011,-0.0011
0.2,0.15,0.25,0.0115,0.0021,-0.0021,0.0013,-0.0013
0.3,0.25,0.35,0.0146,0.0021,-0.0021,0.0016,-0.0016
0.4,0.35,0.45,0.0233,0.0028,-0.0028,0.0026,-0.0026
0.5,0.45,0.55,0.0567,0.0047,-0.0047,0.0062,-0.0062
0.6000000000000001,0.55,0.65,0.1406,0.0076,-0.0076,0.0155,-0.0155
0.7,0.65,0.75,0.3254,0.012,-0.012,0.0358,-0.0358
0.8,0.75,0.85,0.666,0.0179,-0.0179,0.0733,-0.0733
0.86,0.85,0.87,0.7636,0.0573,-0.0573,0.084,-0.084

