#: table_doi: 10.17182/hepdata.54967.v1/t58
#: name: Table 58
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 2.2-2.21 GeV.

#: data_file: Table58.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 2.111E+00,2.134E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 2.2-2.21
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,2.205 (BIN=2.2 TO 2.21)
#: SQRT(S) [GeV],,,2.2-2.21
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.89,-0.93,-0.85,0.4694,0.1249,-0.1249,0.0516,-0.0516
-0.8,-0.85,-0.75,0.3023,0.0375,-0.0375,0.0333,-0.0333
-0.7,-0.75,-0.65,0.2305,0.0187,-0.0187,0.0254,-0.0254
-0.6000000000000001,-0.65,-0.55,0.2017,0.0137,-0.0137,0.0222,-0.0222
-0.5,-0.55,-0.45,0.168,0.0115,-0.0115,0.0185,-0.0185
-0.4,-0.45,-0.35,0.1289,0.0089,-0.0089,0.0142,-0.0142
-0.3,-0.35,-0.25,0.1261,0.0081,-0.0081,0.0139,-0.0139
-0.2,-0.25,-0.15,0.1229,0.0088,-0.0088,0.0135,-0.0135
-0.1,-0.15,-0.05,0.1419,0.0086,-0.0086,0.0156,-0.0156
0.0,-0.05,0.05,0.1745,0.0125,-0.0125,0.0192,-0.0192
0.1,0.05,0.15,0.2317,0.0099,-0.0099,0.0255,-0.0255
0.2,0.15,0.25,0.3377,0.0117,-0.0117,0.0371,-0.0371
0.3,0.25,0.35,0.469,0.0145,-0.0145,0.0516,-0.0516
0.4,0.35,0.45,0.5885,0.0159,-0.0159,0.0647,-0.0647
0.5,0.45,0.55,0.7727,0.0191,-0.0191,0.085,-0.085
0.6000000000000001,0.55,0.65,1.0613,0.0214,-0.0214,0.1167,-0.1167
0.7,0.65,0.75,1.3984,0.0272,-0.0272,0.1538,-0.1538
0.8,0.75,0.85,1.6776,0.0323,-0.0323,0.1845,-0.1845
0.88,0.85,0.91,1.5911,0.0568,-0.0568,0.175,-0.175

