#: table_doi: 10.17182/hepdata.54967.v1/t35
#: name: Table 35
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 1.97-1.98 GeV.

#: data_file: Table35.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 1.600E+00,1.621E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 1.97-1.98
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,1.975 (BIN=1.97 TO 1.98)
#: SQRT(S) [GeV],,,1.97-1.98
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.8999999999999999,-0.95,-0.85,0.8382,0.1706,-0.1706,0.0922,-0.0922
-0.8,-0.85,-0.75,0.7838,0.0626,-0.0626,0.0862,-0.0862
-0.7,-0.75,-0.65,0.667,0.0291,-0.0291,0.0734,-0.0734
-0.6000000000000001,-0.65,-0.55,0.5108,0.0217,-0.0217,0.0562,-0.0562
-0.5,-0.55,-0.45,0.4282,0.0182,-0.0182,0.0471,-0.0471
-0.4,-0.45,-0.35,0.3717,0.015,-0.015,0.0409,-0.0409
-0.3,-0.35,-0.25,0.3958,0.0145,-0.0145,0.0435,-0.0435
-0.2,-0.25,-0.15,0.4621,0.0147,-0.0147,0.0508,-0.0508
-0.1,-0.15,-0.05,0.5933,0.0184,-0.0184,0.0653,-0.0653
0.0,-0.05,0.05,0.6216,0.0171,-0.0171,0.0684,-0.0684
0.1,0.05,0.15,0.865,0.026,-0.026,0.0951,-0.0951
0.2,0.15,0.25,0.9053,0.0183,-0.0183,0.0996,-0.0996
0.3,0.25,0.35,1.1616,0.0221,-0.0221,0.1278,-0.1278
0.4,0.35,0.45,1.3002,0.0246,-0.0246,0.143,-0.143
0.5,0.45,0.55,1.4207,0.024,-0.024,0.1563,-0.1563
0.6000000000000001,0.55,0.65,1.607,0.0255,-0.0255,0.1768,-0.1768
0.7,0.65,0.75,1.7999,0.029,-0.029,0.198,-0.198
0.8,0.75,0.85,1.939,0.0379,-0.0379,0.2133,-0.2133
0.89,0.85,0.93,2.1665,0.0997,-0.0997,0.2383,-0.2383

