#: table_doi: 10.17182/hepdata.54967.v1/t32
#: name: Table 32
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 1.93-1.94 GeV.

#: data_file: Table32.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 1.517E+00,1.537E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 1.93-1.94
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,1.935 (BIN=1.93 TO 1.94)
#: SQRT(S) [GeV],,,1.93-1.94
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.8,-0.85,-0.75,0.8019,0.0913,-0.0913,0.0882,-0.0882
-0.7,-0.75,-0.65,0.6809,0.0479,-0.0479,0.0749,-0.0749
-0.6000000000000001,-0.65,-0.55,0.6481,0.0415,-0.0415,0.0713,-0.0713
-0.5,-0.55,-0.45,0.6788,0.0464,-0.0464,0.0747,-0.0747
-0.4,-0.45,-0.35,0.5351,0.0579,-0.0579,0.0589,-0.0589
-0.3,-0.35,-0.25,0.5145,0.0282,-0.0282,0.0566,-0.0566
-0.2,-0.25,-0.15,0.6652,0.0249,-0.0249,0.0732,-0.0732
-0.1,-0.15,-0.05,0.7521,0.0291,-0.0291,0.0827,-0.0827
0.0,-0.05,0.05,0.8608,0.0288,-0.0288,0.0947,-0.0947
0.1,0.05,0.15,1.073,0.0417,-0.0417,0.118,-0.118
0.2,0.15,0.25,1.087,0.0291,-0.0291,0.1196,-0.1196
0.3,0.25,0.35,1.2966,0.0318,-0.0318,0.1426,-0.1426
0.4,0.35,0.45,1.3857,0.0358,-0.0358,0.1524,-0.1524
0.5,0.45,0.55,1.5145,0.0353,-0.0353,0.1666,-0.1666
0.6000000000000001,0.55,0.65,1.6909,0.0368,-0.0368,0.186,-0.186
0.7,0.65,0.75,1.9961,0.0433,-0.0433,0.2196,-0.2196
0.8,0.75,0.85,2.0156,0.0539,-0.0539,0.2217,-0.2217
0.89,0.85,0.93,2.5325,0.1403,-0.1403,0.2786,-0.2786

