#: table_doi: 10.17182/hepdata.54967.v1/t15
#: name: Table 15
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 1.76-1.77 GeV.

#: data_file: Table15.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 1.182E+00,1.201E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 1.76-1.77
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,1.765 (BIN=1.76 TO 1.77)
#: SQRT(S) [GeV],,,1.76-1.77
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.5,-0.55,-0.45,0.5935,0.1345,-0.1345,0.0653,-0.0653
-0.4,-0.45,-0.35,0.6255,0.0791,-0.0791,0.0688,-0.0688
-0.3,-0.35,-0.25,0.7096,0.0859,-0.0859,0.0781,-0.0781
-0.2,-0.25,-0.15,0.7705,0.0829,-0.0829,0.0848,-0.0848
-0.1,-0.15,-0.05,0.8716,0.0883,-0.0883,0.0959,-0.0959
0.0,-0.05,0.05,0.9736,0.0424,-0.0424,0.1071,-0.1071
0.1,0.05,0.15,1.1499,0.0412,-0.0412,0.1265,-0.1265
0.2,0.15,0.25,1.3947,0.0576,-0.0576,0.1534,-0.1534
0.3,0.25,0.35,1.4779,0.0424,-0.0424,0.1626,-0.1626
0.4,0.35,0.45,1.4972,0.0433,-0.0433,0.1647,-0.1647
0.5,0.45,0.55,1.6946,0.0477,-0.0477,0.1864,-0.1864
0.6000000000000001,0.55,0.65,1.9986,0.0552,-0.0552,0.2198,-0.2198
0.7,0.65,0.75,1.9925,0.0694,-0.0694,0.2192,-0.2192
0.8,0.75,0.85,2.3117,0.0933,-0.0933,0.2543,-0.2543
0.89,0.85,0.93,2.6519,0.2772,-0.2772,0.2917,-0.2917

