#: table_doi: 10.17182/hepdata.52667.v1/t46
#: name: Table 46
#: description: Differential cross section for the W range 2.18 to 2.19 GeV.

#: data_file: Table46.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.18-2.19
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.185 (BIN=2.18 TO 2.19)
#: SQRT(S) [GeV],,,2.18-2.19
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,1.202,0.039,-0.039
-0.75,-0.8,-0.7,1.347,0.028,-0.028
-0.6499999999999999,-0.7,-0.6,1.164,0.024,-0.024
-0.55,-0.6,-0.5,1.17,0.025,-0.025
-0.45,-0.5,-0.4,1.046,0.022,-0.022
-0.35,-0.4,-0.3,1.138,0.022,-0.022
-0.25,-0.3,-0.2,1.27,0.023,-0.023
-0.15000000000000002,-0.2,-0.1,1.353,0.024,-0.024
-0.05,-0.1,0.0,1.498,0.026,-0.026
0.05,0.0,0.1,1.511,0.029,-0.029
0.15000000000000002,0.1,0.2,1.214,0.025,-0.025
0.25,0.2,0.3,1.128,0.026,-0.026
0.35,0.3,0.4,1.166,0.028,-0.028
0.45,0.4,0.5,1.377,0.03,-0.03
0.55,0.5,0.6,2.07,0.037,-0.037
0.6499999999999999,0.6,0.7,3.748,0.05,-0.05
0.75,0.7,0.8,6.115,0.057,-0.057
0.8500000000000001,0.8,0.9,11.84,0.111,-0.111

