#: table_doi: 10.17182/hepdata.52667.v1/t90
#: name: Table 90
#: description: Differential cross section for the W range 2.62 to 2.63 GeV.

#: data_file: Table90.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.62-2.63
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.625 (BIN=2.62 TO 2.63)
#: SQRT(S) [GeV],,,2.62-2.63
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8300000000000001,-0.86,-0.8,0.2921,0.0184,-0.0184
-0.75,-0.8,-0.7,0.2987,0.0099,-0.0099
-0.6499999999999999,-0.7,-0.6,0.297,0.0093,-0.0093
-0.55,-0.6,-0.5,0.2406,0.008,-0.008
-0.45,-0.5,-0.4,0.1696,0.0065,-0.0065
-0.35,-0.4,-0.3,0.1414,0.006,-0.006
-0.25,-0.3,-0.2,0.1092,0.0046,-0.0046
-0.15000000000000002,-0.2,-0.1,0.1266,0.0052,-0.0052
-0.05,-0.1,0.0,0.1374,0.0055,-0.0055
0.05,0.0,0.1,0.1496,0.0058,-0.0058
0.15000000000000002,0.1,0.2,0.173,0.0066,-0.0066
0.25,0.2,0.3,0.2224,0.0077,-0.0077
0.35,0.3,0.4,0.2972,0.0091,-0.0091
0.45,0.4,0.5,0.3787,0.0113,-0.0113
0.55,0.5,0.6,0.4734,0.0134,-0.0134
0.6499999999999999,0.6,0.7,0.7694,0.0184,-0.0184
0.75,0.7,0.8,1.724,0.032,-0.032
0.8500000000000001,0.8,0.9,5.653,0.104,-0.104
0.9199999999999999,0.9,0.94,10.39,0.386,-0.386

