#: table_doi: 10.17182/hepdata.52667.v1/t75
#: name: Table 75
#: description: Differential cross section for the W range 2.47 to 2.48 GeV.

#: data_file: Table75.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.47-2.48
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.475 (BIN=2.47 TO 2.48)
#: SQRT(S) [GeV],,,2.47-2.48
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8300000000000001,-0.86,-0.8,0.4467,0.0198,-0.0198
-0.75,-0.8,-0.7,0.4919,0.0132,-0.0132
-0.6499999999999999,-0.7,-0.6,0.4561,0.0118,-0.0118
-0.55,-0.6,-0.5,0.3476,0.01,-0.01
-0.45,-0.5,-0.4,0.2614,0.0088,-0.0088
-0.35,-0.4,-0.3,0.2392,0.008,-0.008
-0.25,-0.3,-0.2,0.2659,0.0088,-0.0088
-0.15000000000000002,-0.2,-0.1,0.2895,0.0092,-0.0092
-0.05,-0.1,0.0,0.3249,0.0097,-0.0097
0.05,0.0,0.1,0.3287,0.0101,-0.0101
0.15000000000000002,0.1,0.2,0.3139,0.0096,-0.0096
0.25,0.2,0.3,0.3926,0.0114,-0.0114
0.35,0.3,0.4,0.4865,0.0131,-0.0131
0.45,0.4,0.5,0.657,0.0158,-0.0158
0.55,0.5,0.6,0.8428,0.019,-0.019
0.6499999999999999,0.6,0.7,1.242,0.023,-0.023
0.75,0.7,0.8,2.507,0.036,-0.036
0.8500000000000001,0.8,0.9,6.406,0.086,-0.086
0.9199999999999999,0.9,0.94,12.38,0.47,-0.47

