#: table_doi: 10.17182/hepdata.52667.v1/t45
#: name: Table 45
#: description: Differential cross section for the W range 2.17 to 2.18 GeV.

#: data_file: Table45.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.17-2.18
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.175 (BIN=2.17 TO 2.18)
#: SQRT(S) [GeV],,,2.17-2.18
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,1.226,0.042,-0.042
-0.75,-0.8,-0.7,1.301,0.028,-0.028
-0.6499999999999999,-0.7,-0.6,1.095,0.024,-0.024
-0.55,-0.6,-0.5,1.145,0.026,-0.026
-0.45,-0.5,-0.4,1.068,0.023,-0.023
-0.35,-0.4,-0.3,1.179,0.024,-0.024
-0.25,-0.3,-0.2,1.352,0.025,-0.025
-0.15000000000000002,-0.2,-0.1,1.428,0.026,-0.026
-0.05,-0.1,0.0,1.51,0.027,-0.027
0.05,0.0,0.1,1.436,0.027,-0.027
0.15000000000000002,0.1,0.2,1.275,0.027,-0.027
0.25,0.2,0.3,1.122,0.026,-0.026
0.35,0.3,0.4,1.16,0.029,-0.029
0.45,0.4,0.5,1.399,0.031,-0.031
0.55,0.5,0.6,2.316,0.041,-0.041
0.6499999999999999,0.6,0.7,3.628,0.049,-0.049
0.75,0.7,0.8,6.012,0.058,-0.058
0.8500000000000001,0.8,0.9,11.72,0.111,-0.111

