#: table_doi: 10.17182/hepdata.52667.v1/t37
#: name: Table 37
#: description: Differential cross section for the W range 2.09 to 2.10 GeV.

#: data_file: Table37.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.09-2.1
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.095 (BIN=2.09 TO 2.10)
#: SQRT(S) [GeV],,,2.09-2.1
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,1.326,0.048,-0.048
-0.75,-0.8,-0.7,1.417,0.035,-0.035
-0.6499999999999999,-0.7,-0.6,1.357,0.032,-0.032
-0.55,-0.6,-0.5,1.4,0.033,-0.033
-0.45,-0.5,-0.4,1.402,0.029,-0.029
-0.35,-0.4,-0.3,1.608,0.031,-0.031
-0.25,-0.3,-0.2,1.775,0.033,-0.033
-0.15000000000000002,-0.2,-0.1,1.894,0.035,-0.035
-0.05,-0.1,0.0,1.851,0.036,-0.036
0.05,0.0,0.1,1.812,0.038,-0.038
0.15000000000000002,0.1,0.2,1.591,0.038,-0.038
0.25,0.2,0.3,1.453,0.039,-0.039
0.35,0.3,0.4,1.48,0.042,-0.042
0.45,0.4,0.5,1.757,0.047,-0.047
0.55,0.5,0.6,2.809,0.057,-0.057
0.6499999999999999,0.6,0.7,4.495,0.071,-0.071
0.75,0.7,0.8,7.547,0.083,-0.083
0.8500000000000001,0.8,0.9,13.27,0.331,-0.331

