#: table_doi: 10.17182/hepdata.52667.v1/t13
#: name: Table 13
#: description: Differential cross section for the W range 1.84 to 1.85 GeV.

#: data_file: Table13.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 1.84-1.85
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,1.845 (BIN=1.84 TO 1.85)
#: SQRT(S) [GeV],,,1.84-1.85
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.75,-0.8,-0.7,3.155,0.07,-0.07
-0.6499999999999999,-0.7,-0.6,3.151,0.063,-0.063
-0.55,-0.6,-0.5,3.127,0.059,-0.059
-0.45,-0.5,-0.4,3.29,0.06,-0.06
-0.35,-0.4,-0.3,3.09,0.054,-0.054
-0.25,-0.3,-0.2,3.223,0.055,-0.055
-0.15000000000000002,-0.2,-0.1,3.254,0.056,-0.056
-0.05,-0.1,0.0,3.341,0.059,-0.059
0.05,0.0,0.1,3.199,0.06,-0.06
0.15000000000000002,0.1,0.2,3.167,0.065,-0.065
0.25,0.2,0.3,3.037,0.066,-0.066
0.35,0.3,0.4,3.158,0.07,-0.07
0.45,0.4,0.5,3.498,0.082,-0.082
0.55,0.5,0.6,3.812,0.087,-0.087
0.6499999999999999,0.6,0.7,4.479,0.093,-0.093
0.75,0.7,0.8,5.202,0.116,-0.116

