#: table_doi: 10.17182/hepdata.52667.v1/t79
#: name: Table 79
#: description: Differential cross section for the W range 2.51 to 2.52 GeV.

#: data_file: Table79.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.51-2.52
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.515 (BIN=2.51 TO 2.52)
#: SQRT(S) [GeV],,,2.51-2.52
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8300000000000001,-0.86,-0.8,0.37,0.0185,-0.0185
-0.75,-0.8,-0.7,0.4005,0.0119,-0.0119
-0.6499999999999999,-0.7,-0.6,0.3964,0.0112,-0.0112
-0.55,-0.6,-0.5,0.3153,0.0095,-0.0095
-0.45,-0.5,-0.4,0.236,0.0084,-0.0084
-0.35,-0.4,-0.3,0.2136,0.0076,-0.0076
-0.25,-0.3,-0.2,0.2043,0.0073,-0.0073
-0.15000000000000002,-0.2,-0.1,0.2372,0.0081,-0.0081
-0.05,-0.1,0.0,0.2667,0.0086,-0.0086
0.05,0.0,0.1,0.2802,0.0091,-0.0091
0.15000000000000002,0.1,0.2,0.2901,0.0093,-0.0093
0.25,0.2,0.3,0.3267,0.0097,-0.0097
0.35,0.3,0.4,0.4153,0.0113,-0.0113
0.45,0.4,0.5,0.6262,0.0155,-0.0155
0.55,0.5,0.6,0.7251,0.0169,-0.0169
0.6499999999999999,0.6,0.7,1.119,0.021,-0.021
0.75,0.7,0.8,2.319,0.034,-0.034
0.8500000000000001,0.8,0.9,6.276,0.086,-0.086
0.9199999999999999,0.9,0.94,16.09,0.508,-0.508

