#: table_doi: 10.17182/hepdata.52667.v1/t17
#: name: Table 17
#: description: Differential cross section for the W range 1.88 to 1.89 GeV.

#: data_file: Table17.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 1.88-1.89
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,1.885 (BIN=1.88 TO 1.89)
#: SQRT(S) [GeV],,,1.88-1.89
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.75,-0.8,-0.7,2.524,0.06,-0.06
-0.6499999999999999,-0.7,-0.6,2.502,0.057,-0.057
-0.55,-0.6,-0.5,2.799,0.057,-0.057
-0.45,-0.5,-0.4,2.649,0.052,-0.052
-0.35,-0.4,-0.3,2.906,0.054,-0.054
-0.25,-0.3,-0.2,2.69,0.05,-0.05
-0.15000000000000002,-0.2,-0.1,2.73,0.052,-0.052
-0.05,-0.1,0.0,2.957,0.059,-0.059
0.05,0.0,0.1,2.668,0.058,-0.058
0.15000000000000002,0.1,0.2,2.546,0.064,-0.064
0.25,0.2,0.3,2.509,0.067,-0.067
0.35,0.3,0.4,2.46,0.07,-0.07
0.45,0.4,0.5,2.645,0.074,-0.074
0.55,0.5,0.6,3.051,0.082,-0.082
0.6499999999999999,0.6,0.7,4.034,0.105,-0.105
0.75,0.7,0.8,4.604,0.121,-0.121

