#: table_doi: 10.17182/hepdata.52667.v1/t64
#: name: Table 64
#: description: Differential cross section for the W range 2.36 to 2.37 GeV.

#: data_file: Table64.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.36-2.37
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.365 (BIN=2.36 TO 2.37)
#: SQRT(S) [GeV],,,2.36-2.37
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,0.8003,0.0434,-0.0434
-0.75,-0.8,-0.7,0.7948,0.0178,-0.0178
-0.6499999999999999,-0.7,-0.6,0.6931,0.0158,-0.0158
-0.55,-0.6,-0.5,0.5096,0.0131,-0.0131
-0.45,-0.5,-0.4,0.4201,0.0123,-0.0123
-0.35,-0.4,-0.3,0.4075,0.0113,-0.0113
-0.25,-0.3,-0.2,0.495,0.0128,-0.0128
-0.15000000000000002,-0.2,-0.1,0.5665,0.0138,-0.0138
-0.05,-0.1,0.0,0.6431,0.0149,-0.0149
0.05,0.0,0.1,0.654,0.0154,-0.0154
0.15000000000000002,0.1,0.2,0.5928,0.0146,-0.0146
0.25,0.2,0.3,0.6221,0.0155,-0.0155
0.35,0.3,0.4,0.6918,0.0169,-0.0169
0.45,0.4,0.5,0.9403,0.0201,-0.0201
0.55,0.5,0.6,1.319,0.025,-0.025
0.6499999999999999,0.6,0.7,2.045,0.03,-0.03
0.75,0.7,0.8,3.603,0.042,-0.042
0.8500000000000001,0.8,0.9,9.275,0.1,-0.1
0.91,0.9,0.92,15.99,0.496,-0.496

