#: table_doi: 10.17182/hepdata.52667.v1/t85
#: name: Table 85
#: description: Differential cross section for the W range 2.57 to 2.58 GeV.

#: data_file: Table85.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.57-2.58
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.575 (BIN=2.57 TO 2.58)
#: SQRT(S) [GeV],,,2.57-2.58
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8300000000000001,-0.86,-0.8,0.3075,0.0172,-0.0172
-0.75,-0.8,-0.7,0.3435,0.0109,-0.0109
-0.6499999999999999,-0.7,-0.6,0.3162,0.0096,-0.0096
-0.55,-0.6,-0.5,0.2632,0.0082,-0.0082
-0.45,-0.5,-0.4,0.2048,0.0073,-0.0073
-0.35,-0.4,-0.3,0.1576,0.0062,-0.0062
-0.25,-0.3,-0.2,0.1552,0.006,-0.006
-0.15000000000000002,-0.2,-0.1,0.1559,0.0058,-0.0058
-0.05,-0.1,0.0,0.1638,0.006,-0.006
0.05,0.0,0.1,0.1905,0.007,-0.007
0.15000000000000002,0.1,0.2,0.2058,0.0074,-0.0074
0.25,0.2,0.3,0.2523,0.0083,-0.0083
0.35,0.3,0.4,0.3234,0.0099,-0.0099
0.45,0.4,0.5,0.4118,0.0119,-0.0119
0.55,0.5,0.6,0.5801,0.0158,-0.0158
0.6499999999999999,0.6,0.7,0.8614,0.0197,-0.0197
0.75,0.7,0.8,1.845,0.033,-0.033
0.8500000000000001,0.8,0.9,5.595,0.096,-0.096
0.9199999999999999,0.9,0.94,13.72,0.484,-0.484

