#: table_doi: 10.17182/hepdata.52667.v1/t102
#: name: Table 102
#: description: Differential cross section for the W range 2.76 to 2.77 GeV.

#: data_file: Table102.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.76-2.77
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.765 (BIN=2.76 TO 2.77)
#: SQRT(S) [GeV],,,2.76-2.77
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8200000000000001,-0.84,-0.8,0.1863,0.0141,-0.0141
-0.75,-0.8,-0.7,0.1999,0.0084,-0.0084
-0.6499999999999999,-0.7,-0.6,0.1605,0.0067,-0.0067
-0.55,-0.6,-0.5,0.1326,0.0056,-0.0056
-0.45,-0.5,-0.4,0.09347,0.00464,-0.00464
-0.35,-0.4,-0.3,0.06528,0.00385,-0.00385
-0.25,-0.3,-0.2,0.05103,0.00312,-0.00312
-0.15000000000000002,-0.2,-0.1,0.04956,0.00303,-0.00303
-0.05,-0.1,0.0,0.06035,0.00337,-0.00337
0.05,0.0,0.1,0.06435,0.00347,-0.00347
0.15000000000000002,0.1,0.2,0.09091,0.00456,-0.00456
0.25,0.2,0.3,0.1206,0.0052,-0.0052
0.35,0.3,0.4,0.1691,0.0066,-0.0066
0.45,0.4,0.5,0.1962,0.0078,-0.0078
0.55,0.5,0.6,0.2858,0.0107,-0.0107
0.6499999999999999,0.6,0.7,0.4521,0.015,-0.015
0.75,0.7,0.8,1.123,0.029,-0.029
0.8500000000000001,0.8,0.9,3.943,0.105,-0.105
0.9299999999999999,0.9,0.96,8.859,0.893,-0.893

