#: table_doi: 10.17182/hepdata.52667.v1/t48
#: name: Table 48
#: description: Differential cross section for the W range 2.20 to 2.21 GeV.

#: data_file: Table48.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.2-2.21
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.205 (BIN=2.20 TO 2.21)
#: SQRT(S) [GeV],,,2.2-2.21
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,1.235,0.039,-0.039
-0.75,-0.8,-0.7,1.336,0.028,-0.028
-0.6499999999999999,-0.7,-0.6,1.155,0.024,-0.024
-0.55,-0.6,-0.5,1.074,0.024,-0.024
-0.45,-0.5,-0.4,0.9953,0.0213,-0.0213
-0.35,-0.4,-0.3,1.108,0.022,-0.022
-0.25,-0.3,-0.2,1.242,0.023,-0.023
-0.15000000000000002,-0.2,-0.1,1.405,0.025,-0.025
-0.05,-0.1,0.0,1.478,0.026,-0.026
0.05,0.0,0.1,1.504,0.028,-0.028
0.15000000000000002,0.1,0.2,1.256,0.025,-0.025
0.25,0.2,0.3,1.093,0.025,-0.025
0.35,0.3,0.4,1.065,0.025,-0.025
0.45,0.4,0.5,1.445,0.03,-0.03
0.55,0.5,0.6,2.198,0.038,-0.038
0.6499999999999999,0.6,0.7,3.589,0.048,-0.048
0.75,0.7,0.8,6.094,0.058,-0.058
0.8500000000000001,0.8,0.9,12.2,0.115,-0.115
0.91,0.9,0.92,23.36,5.657,-5.657

