#: table_doi: 10.17182/hepdata.52667.v1/t44
#: name: Table 44
#: description: Differential cross section for the W range 2.16 to 2.17 GeV.

#: data_file: Table44.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.16-2.17
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.165 (BIN=2.16 TO 2.17)
#: SQRT(S) [GeV],,,2.16-2.17
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,1.036,0.036,-0.036
-0.75,-0.8,-0.7,1.326,0.029,-0.029
-0.6499999999999999,-0.7,-0.6,1.174,0.025,-0.025
-0.55,-0.6,-0.5,1.142,0.025,-0.025
-0.45,-0.5,-0.4,1.113,0.023,-0.023
-0.35,-0.4,-0.3,1.223,0.024,-0.024
-0.25,-0.3,-0.2,1.349,0.025,-0.025
-0.15000000000000002,-0.2,-0.1,1.406,0.025,-0.025
-0.05,-0.1,0.0,1.511,0.027,-0.027
0.05,0.0,0.1,1.485,0.029,-0.029
0.15000000000000002,0.1,0.2,1.32,0.029,-0.029
0.25,0.2,0.3,1.119,0.027,-0.027
0.35,0.3,0.4,1.186,0.03,-0.03
0.45,0.4,0.5,1.504,0.034,-0.034
0.55,0.5,0.6,2.196,0.04,-0.04
0.6499999999999999,0.6,0.7,3.794,0.052,-0.052
0.75,0.7,0.8,6.098,0.058,-0.058
0.8500000000000001,0.8,0.9,11.71,0.108,-0.108

