#: table_doi: 10.17182/hepdata.52667.v1/t40
#: name: Table 40
#: description: Differential cross section for the W range 2.12 to 2.13 GeV.

#: data_file: Table40.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.12-2.13
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.125 (BIN=2.12 TO 2.13)
#: SQRT(S) [GeV],,,2.12-2.13
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,1.232,0.043,-0.043
-0.75,-0.8,-0.7,1.38,0.033,-0.033
-0.6499999999999999,-0.7,-0.6,1.239,0.028,-0.028
-0.55,-0.6,-0.5,1.267,0.029,-0.029
-0.45,-0.5,-0.4,1.329,0.028,-0.028
-0.35,-0.4,-0.3,1.439,0.028,-0.028
-0.25,-0.3,-0.2,1.535,0.029,-0.029
-0.15000000000000002,-0.2,-0.1,1.67,0.031,-0.031
-0.05,-0.1,0.0,1.723,0.032,-0.032
0.05,0.0,0.1,1.73,0.036,-0.036
0.15000000000000002,0.1,0.2,1.444,0.033,-0.033
0.25,0.2,0.3,1.246,0.032,-0.032
0.35,0.3,0.4,1.303,0.036,-0.036
0.45,0.4,0.5,1.622,0.039,-0.039
0.55,0.5,0.6,2.327,0.045,-0.045
0.6499999999999999,0.6,0.7,4.01,0.06,-0.06
0.75,0.7,0.8,6.897,0.071,-0.071
0.8500000000000001,0.8,0.9,12.25,0.164,-0.164

