#: table_doi: 10.17182/hepdata.52667.v1/t80
#: name: Table 80
#: description: Differential cross section for the W range 2.52 to 2.53 GeV.

#: data_file: Table80.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.52-2.53
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.525 (BIN=2.52 TO 2.53)
#: SQRT(S) [GeV],,,2.52-2.53
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8300000000000001,-0.86,-0.8,0.3799,0.0201,-0.0201
-0.75,-0.8,-0.7,0.4048,0.0125,-0.0125
-0.6499999999999999,-0.7,-0.6,0.3949,0.0112,-0.0112
-0.55,-0.6,-0.5,0.3314,0.0101,-0.0101
-0.45,-0.5,-0.4,0.2507,0.0089,-0.0089
-0.35,-0.4,-0.3,0.2004,0.0074,-0.0074
-0.25,-0.3,-0.2,0.2022,0.0073,-0.0073
-0.15000000000000002,-0.2,-0.1,0.2352,0.0082,-0.0082
-0.05,-0.1,0.0,0.2634,0.0088,-0.0088
0.05,0.0,0.1,0.2694,0.0089,-0.0089
0.15000000000000002,0.1,0.2,0.293,0.0096,-0.0096
0.25,0.2,0.3,0.3094,0.0097,-0.0097
0.35,0.3,0.4,0.3953,0.0116,-0.0116
0.45,0.4,0.5,0.5611,0.0151,-0.0151
0.55,0.5,0.6,0.7586,0.0191,-0.0191
0.6499999999999999,0.6,0.7,1.105,0.023,-0.023
0.75,0.7,0.8,2.197,0.038,-0.038
0.8500000000000001,0.8,0.9,6.263,0.099,-0.099
0.9199999999999999,0.9,0.94,21.28,0.915,-0.915

