#: table_doi: 10.17182/hepdata.52667.v1/t35
#: name: Table 35
#: description: Differential cross section for the W range 2.07 to 2.08 GeV.

#: data_file: Table35.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.07-2.08
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.075 (BIN=2.07 TO 2.08)
#: SQRT(S) [GeV],,,2.07-2.08
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,1.245,0.049,-0.049
-0.75,-0.8,-0.7,1.316,0.034,-0.034
-0.6499999999999999,-0.7,-0.6,1.353,0.033,-0.033
-0.55,-0.6,-0.5,1.432,0.034,-0.034
-0.45,-0.5,-0.4,1.538,0.031,-0.031
-0.35,-0.4,-0.3,1.661,0.032,-0.032
-0.25,-0.3,-0.2,1.802,0.034,-0.034
-0.15000000000000002,-0.2,-0.1,1.816,0.035,-0.035
-0.05,-0.1,0.0,1.738,0.034,-0.034
0.05,0.0,0.1,1.829,0.04,-0.04
0.15000000000000002,0.1,0.2,1.571,0.039,-0.039
0.25,0.2,0.3,1.376,0.038,-0.038
0.35,0.3,0.4,1.472,0.042,-0.042
0.45,0.4,0.5,1.821,0.049,-0.049
0.55,0.5,0.6,2.55,0.053,-0.053
0.6499999999999999,0.6,0.7,4.259,0.071,-0.071
0.75,0.7,0.8,6.944,0.088,-0.088
0.8500000000000001,0.8,0.9,11.98,0.471,-0.471

