#: table_doi: 10.17182/hepdata.52667.v1/t82
#: name: Table 82
#: description: Differential cross section for the W range 2.54 to 2.55 GeV.

#: data_file: Table82.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.54-2.55
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.545 (BIN=2.54 TO 2.55)
#: SQRT(S) [GeV],,,2.54-2.55
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8300000000000001,-0.86,-0.8,0.3476,0.0184,-0.0184
-0.75,-0.8,-0.7,0.3678,0.0113,-0.0113
-0.6499999999999999,-0.7,-0.6,0.3562,0.0102,-0.0102
-0.55,-0.6,-0.5,0.2869,0.009,-0.009
-0.45,-0.5,-0.4,0.2266,0.008,-0.008
-0.35,-0.4,-0.3,0.1806,0.0069,-0.0069
-0.25,-0.3,-0.2,0.1769,0.0067,-0.0067
-0.15000000000000002,-0.2,-0.1,0.1937,0.007,-0.007
-0.05,-0.1,0.0,0.2118,0.0075,-0.0075
0.05,0.0,0.1,0.2271,0.0077,-0.0077
0.15000000000000002,0.1,0.2,0.2494,0.0082,-0.0082
0.25,0.2,0.3,0.2994,0.0092,-0.0092
0.35,0.3,0.4,0.381,0.0107,-0.0107
0.45,0.4,0.5,0.5272,0.014,-0.014
0.55,0.5,0.6,0.6773,0.0172,-0.0172
0.6499999999999999,0.6,0.7,1.018,0.021,-0.021
0.75,0.7,0.8,2.199,0.038,-0.038
0.8500000000000001,0.8,0.9,5.866,0.093,-0.093
0.9199999999999999,0.9,0.94,12.02,0.391,-0.391

