#: table_doi: 10.17182/hepdata.52667.v1/t86
#: name: Table 86
#: description: Differential cross section for the W range 2.58 to 2.59 GeV.

#: data_file: Table86.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.58-2.59
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.585 (BIN=2.58 TO 2.59)
#: SQRT(S) [GeV],,,2.58-2.59
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8300000000000001,-0.86,-0.8,0.3272,0.0201,-0.0201
-0.75,-0.8,-0.7,0.3291,0.0112,-0.0112
-0.6499999999999999,-0.7,-0.6,0.3183,0.0101,-0.0101
-0.55,-0.6,-0.5,0.2621,0.0086,-0.0086
-0.45,-0.5,-0.4,0.2017,0.0077,-0.0077
-0.35,-0.4,-0.3,0.146,0.0063,-0.0063
-0.25,-0.3,-0.2,0.1322,0.0058,-0.0058
-0.15000000000000002,-0.2,-0.1,0.1569,0.0065,-0.0065
-0.05,-0.1,0.0,0.1626,0.0067,-0.0067
0.05,0.0,0.1,0.1759,0.007,-0.007
0.15000000000000002,0.1,0.2,0.2027,0.0078,-0.0078
0.25,0.2,0.3,0.2418,0.0085,-0.0085
0.35,0.3,0.4,0.3211,0.0104,-0.0104
0.45,0.4,0.5,0.4285,0.0133,-0.0133
0.55,0.5,0.6,0.5427,0.0158,-0.0158
0.6499999999999999,0.6,0.7,0.834,0.0206,-0.0206
0.75,0.7,0.8,1.796,0.036,-0.036
0.8500000000000001,0.8,0.9,4.644,0.089,-0.089
0.9199999999999999,0.9,0.94,13.33,0.507,-0.507

