#: table_doi: 10.17182/hepdata.52667.v1/t33
#: name: Table 33
#: description: Differential cross section for the W range 2.05 to 2.06 GeV.

#: data_file: Table33.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.05-2.06
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.055 (BIN=2.05 TO 2.06)
#: SQRT(S) [GeV],,,2.05-2.06
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,1.361,0.055,-0.055
-0.75,-0.8,-0.7,1.391,0.037,-0.037
-0.6499999999999999,-0.7,-0.6,1.375,0.034,-0.034
-0.55,-0.6,-0.5,1.508,0.035,-0.035
-0.45,-0.5,-0.4,1.574,0.032,-0.032
-0.35,-0.4,-0.3,1.825,0.036,-0.036
-0.25,-0.3,-0.2,1.915,0.036,-0.036
-0.15000000000000002,-0.2,-0.1,1.871,0.037,-0.037
-0.05,-0.1,0.0,1.906,0.04,-0.04
0.05,0.0,0.1,1.769,0.041,-0.041
0.15000000000000002,0.1,0.2,1.647,0.042,-0.042
0.25,0.2,0.3,1.513,0.043,-0.043
0.35,0.3,0.4,1.486,0.045,-0.045
0.45,0.4,0.5,1.887,0.052,-0.052
0.55,0.5,0.6,2.697,0.059,-0.059
0.6499999999999999,0.6,0.7,4.175,0.075,-0.075
0.75,0.7,0.8,7.292,0.103,-0.103
0.8500000000000001,0.8,0.9,15.09,1.342,-1.342

