#: table_doi: 10.17182/hepdata.52667.v1/t54
#: name: Table 54
#: description: Differential cross section for the W range 2.26 to 2.27 GeV.

#: data_file: Table54.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.26-2.27
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.265 (BIN=2.26 TO 2.27)
#: SQRT(S) [GeV],,,2.26-2.27
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,1.168,0.037,-0.037
-0.75,-0.8,-0.7,1.192,0.023,-0.023
-0.6499999999999999,-0.7,-0.6,1.027,0.02,-0.02
-0.55,-0.6,-0.5,0.8073,0.0184,-0.0184
-0.45,-0.5,-0.4,0.7507,0.0175,-0.0175
-0.35,-0.4,-0.3,0.8114,0.0181,-0.0181
-0.25,-0.3,-0.2,0.9287,0.0188,-0.0188
-0.15000000000000002,-0.2,-0.1,1.045,0.02,-0.02
-0.05,-0.1,0.0,1.137,0.021,-0.021
0.05,0.0,0.1,1.147,0.022,-0.022
0.15000000000000002,0.1,0.2,1.039,0.021,-0.021
0.25,0.2,0.3,0.9575,0.0206,-0.0206
0.35,0.3,0.4,1.008,0.022,-0.022
0.45,0.4,0.5,1.323,0.026,-0.026
0.55,0.5,0.6,1.87,0.031,-0.031
0.6499999999999999,0.6,0.7,2.889,0.038,-0.038
0.75,0.7,0.8,5.014,0.049,-0.049
0.8500000000000001,0.8,0.9,11.2,0.112,-0.112
0.91,0.9,0.92,15.77,0.877,-0.877

