#: table_doi: 10.17182/hepdata.52667.v1/t39
#: name: Table 39
#: description: Differential cross section for the W range 2.11 to 2.12 GeV.

#: data_file: Table39.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.11-2.12
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.115 (BIN=2.11 TO 2.12)
#: SQRT(S) [GeV],,,2.11-2.12
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,1.365,0.05,-0.05
-0.75,-0.8,-0.7,1.258,0.031,-0.031
-0.6499999999999999,-0.7,-0.6,1.267,0.029,-0.029
-0.55,-0.6,-0.5,1.286,0.03,-0.03
-0.45,-0.5,-0.4,1.349,0.028,-0.028
-0.35,-0.4,-0.3,1.498,0.03,-0.03
-0.25,-0.3,-0.2,1.62,0.03,-0.03
-0.15000000000000002,-0.2,-0.1,1.725,0.032,-0.032
-0.05,-0.1,0.0,1.782,0.034,-0.034
0.05,0.0,0.1,1.692,0.035,-0.035
0.15000000000000002,0.1,0.2,1.423,0.033,-0.033
0.25,0.2,0.3,1.298,0.034,-0.034
0.35,0.3,0.4,1.392,0.038,-0.038
0.45,0.4,0.5,1.673,0.042,-0.042
0.55,0.5,0.6,2.493,0.05,-0.05
0.6499999999999999,0.6,0.7,4.223,0.063,-0.063
0.75,0.7,0.8,7.132,0.074,-0.074
0.8500000000000001,0.8,0.9,12.17,0.175,-0.175

