#: table_doi: 10.17182/hepdata.52667.v1/t16
#: name: Table 16
#: description: Differential cross section for the W range 1.87 to 1.88 GeV.

#: data_file: Table16.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 1.87-1.88
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,1.875 (BIN=1.87 TO 1.88)
#: SQRT(S) [GeV],,,1.87-1.88
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.75,-0.8,-0.7,2.681,0.067,-0.067
-0.6499999999999999,-0.7,-0.6,2.735,0.063,-0.063
-0.55,-0.6,-0.5,2.903,0.058,-0.058
-0.45,-0.5,-0.4,2.915,0.056,-0.056
-0.35,-0.4,-0.3,3.022,0.055,-0.055
-0.25,-0.3,-0.2,3.229,0.059,-0.059
-0.15000000000000002,-0.2,-0.1,3.073,0.056,-0.056
-0.05,-0.1,0.0,3.008,0.058,-0.058
0.05,0.0,0.1,2.819,0.059,-0.059
0.15000000000000002,0.1,0.2,2.801,0.066,-0.066
0.25,0.2,0.3,2.88,0.07,-0.07
0.35,0.3,0.4,2.809,0.075,-0.075
0.45,0.4,0.5,2.86,0.077,-0.077
0.55,0.5,0.6,3.385,0.086,-0.086
0.6499999999999999,0.6,0.7,4.248,0.104,-0.104
0.75,0.7,0.8,4.729,0.128,-0.128

