#: table_doi: 10.17182/hepdata.52667.v1/t73
#: name: Table 73
#: description: Differential cross section for the W range 2.45 to 2.46 GeV.

#: data_file: Table73.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.45-2.46
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.455 (BIN=2.45 TO 2.46)
#: SQRT(S) [GeV],,,2.45-2.46
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8300000000000001,-0.86,-0.8,0.4442,0.0188,-0.0188
-0.75,-0.8,-0.7,0.4906,0.013,-0.013
-0.6499999999999999,-0.7,-0.6,0.4685,0.0118,-0.0118
-0.55,-0.6,-0.5,0.3581,0.0099,-0.0099
-0.45,-0.5,-0.4,0.2821,0.0092,-0.0092
-0.35,-0.4,-0.3,0.2455,0.008,-0.008
-0.25,-0.3,-0.2,0.2903,0.0089,-0.0089
-0.15000000000000002,-0.2,-0.1,0.3233,0.0095,-0.0095
-0.05,-0.1,0.0,0.3545,0.01,-0.01
0.05,0.0,0.1,0.3796,0.0107,-0.0107
0.15000000000000002,0.1,0.2,0.397,0.0109,-0.0109
0.25,0.2,0.3,0.3894,0.0106,-0.0106
0.35,0.3,0.4,0.4718,0.0123,-0.0123
0.45,0.4,0.5,0.6655,0.0156,-0.0156
0.55,0.5,0.6,0.9728,0.0198,-0.0198
0.6499999999999999,0.6,0.7,1.419,0.024,-0.024
0.75,0.7,0.8,2.659,0.036,-0.036
0.8500000000000001,0.8,0.9,6.873,0.088,-0.088
0.9199999999999999,0.9,0.94,18.13,0.852,-0.852

