#: table_doi: 10.17182/hepdata.52667.v1/t10
#: name: Table 10
#: description: Differential cross section for the W range 1.81 to 1.82 GeV.

#: data_file: Table10.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 1.81-1.82
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,1.815 (BIN=1.81 TO 1.82)
#: SQRT(S) [GeV],,,1.81-1.82
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.75,-0.8,-0.7,3.678,0.199,-0.199
-0.6499999999999999,-0.7,-0.6,3.608,0.072,-0.072
-0.55,-0.6,-0.5,3.651,0.066,-0.066
-0.45,-0.5,-0.4,3.599,0.062,-0.062
-0.35,-0.4,-0.3,3.621,0.061,-0.061
-0.25,-0.3,-0.2,3.608,0.059,-0.059
-0.15000000000000002,-0.2,-0.1,3.59,0.059,-0.059
-0.05,-0.1,0.0,3.769,0.062,-0.062
0.05,0.0,0.1,3.537,0.06,-0.06
0.15000000000000002,0.1,0.2,3.728,0.067,-0.067
0.25,0.2,0.3,3.735,0.076,-0.076
0.35,0.3,0.4,3.992,0.082,-0.082
0.45,0.4,0.5,3.94,0.079,-0.079
0.55,0.5,0.6,4.606,0.093,-0.093
0.6499999999999999,0.6,0.7,5.056,0.102,-0.102
0.75,0.7,0.8,5.97,0.114,-0.114

